id,reliability,trust,confidence,satisfaction,predictability,understandability,user_id_id,usefulness,comfortable,surprised,age_group,education,gender,numeracy_fractions,numeracy_shirt,numeracy_useful
1,6,6,6,5,5,5,1,6,5,5,26-34,high_school,male,4,4,4
2,4,5,5,4,4,4,5,4,4,4,35-40,trade_technical,male,3,4,3
3,3,2,2,3,3,5,6,5,3,3,56-70,some_college,male,2,5,5
4,2,5,4,5,3,6,8,3,5,5,18-25,high_school,male,2,2,2
5,7,6,6,7,6,6,9,6,6,6,41-55,master,male,5,6,5
6,2,5,5,6,4,6,12,5,5,4,18-25,high_school,male,4,4,4
7,5,4,4,5,4,4,10,6,3,3,41-55,some_college,female,5,4,3
8,1,1,1,1,1,1,11,1,1,1,26-34,bachelor,male,1,1,1
9,4,4,4,6,5,4,13,4,4,5,35-40,high_school,female,4,4,4
10,6,5,4,6,7,7,18,4,6,7,41-55,some_college,female,3,2,2
11,2,2,2,2,3,3,15,4,2,2,older_than_70,associate,male,6,6,5
12,2,2,5,3,3,5,14,2,2,5,26-34,high_school,male,3,5,3
13,1,1,1,1,1,1,19,1,1,1,41-55,high_school,male,3,3,2
14,3,4,4,5,5,5,21,3,2,5,41-55,some_high_school,female,3,3,3
15,3,3,3,4,4,4,22,4,4,4,41-55,master,female,3,4,4
16,4,4,4,3,4,4,23,3,4,4,41-55,high_school,female,4,4,4
17,4,4,4,4,4,4,26,4,4,4,26-34,some_college,female,4,4,4
18,2,2,2,2,2,2,28,2,2,2,older_than_70,associate,female,4,4,4
19,4,3,4,3,3,3,31,5,3,6,56-70,some_college,male,5,6,6
20,2,2,2,2,4,4,33,2,3,3,41-55,high_school,female,3,4,4
21,6,6,6,6,7,7,32,5,5,5,41-55,high_school,female,6,5,6
22,2,2,2,2,2,2,34,2,2,2,41-55,associate,female,2,2,2
23,4,4,4,4,4,4,42,4,4,4,26-34,bachelor,female,3,3,3
24,7,7,7,7,7,7,40,7,7,7,35-40,high_school,male,6,6,6
25,4,4,4,5,5,4,37,4,5,4,56-70,some_high_school,female,5,5,5
26,4,4,4,4,4,4,53,3,4,4,35-40,high_school,female,4,4,4
27,6,6,6,4,6,6,57,5,3,3,41-55,bachelor,male,2,4,2
28,6,6,6,4,6,6,57,5,3,3,41-55,bachelor,male,2,4,2
29,4,5,4,6,5,6,38,4,3,5,56-70,high_school,male,2,3,6
30,5,5,6,5,4,4,56,5,4,4,41-55,high_school,female,4,4,4
31,5,6,6,5,6,5,36,6,5,6,18-25,high_school,male,3,4,4
32,7,7,7,7,7,7,47,7,7,7,26-34,high_school,female,6,6,6
33,4,4,4,5,4,5,68,3,5,5,56-70,high_school,female,4,4,4
34,1,1,1,2,5,6,35,1,1,3,41-55,some_college,female,2,4,4
