user_id,usefulness,reliability,trust,confidence,satisfaction,predictability,understandability,surprised,comfortable,numeracy_fractions,numeracy_shirt,numeracy_useful,age_group,gender,education
34,6,5,6,6,4,5,4,6,5,5,6,5,41-55,female,some_high_school
36,7,6,7,7,5,5,6,6,5,5,5,5,41-55,female,bachelor
31,6,6,2,2,2,5,4,3,4,3,3,4,41-55,female,bachelor
38,4,5,5,5,5,5,5,5,5,6,6,5,older_than_70,female,bachelor
37,3,3,3,3,3,3,3,3,3,2,2,2,26-34,male,high_school
32,7,6,6,6,7,5,6,5,5,3,4,6,56-70,male,trade_technical
42,2,2,2,2,1,1,1,1,1,2,2,2,35-40,female,master
44,5,5,7,7,4,5,5,5,3,4,4,4,41-55,female,some_high_school
33,4,5,6,7,6,6,6,6,6,5,5,5,35-40,female,some_college
49,4,5,6,6,5,5,6,5,5,5,5,5,older_than_70,male,bachelor
46,5,5,5,4,5,5,5,5,5,2,5,5,older_than_70,female,trade_technical
45,6,6,6,2,6,3,4,2,5,4,5,6,older_than_70,female,master
50,7,7,7,7,7,7,7,7,7,6,6,6,56-70,female,bachelor
48,5,6,6,6,6,6,6,6,6,5,5,5,18-25,male,high_school
47,4,4,4,4,4,3,3,4,4,2,5,5,41-55,male,some_college
35,3,4,5,4,4,5,4,4,5,2,5,4,older_than_70,female,some_college
51,3,4,4,4,4,5,5,5,5,3,3,4,56-70,female,associate
53,7,7,7,7,7,7,5,7,7,6,6,6,56-70,male,some_college
52,4,4,4,4,4,4,4,4,4,3,6,3,56-70,female,high_school
67,4,4,3,4,4,5,6,5,5,5,5,5,older_than_70,male,high_school
55,6,7,6,6,6,6,6,6,6,6,6,6,35-40,female,high_school
69,6,4,5,2,5,6,4,3,3,4,2,3,26-34,female,associate
71,4,5,5,6,3,6,4,4,4,3,6,4,41-55,female,some_college
74,4,4,5,6,4,5,5,4,6,6,6,6,35-40,male,professional
54,4,4,4,5,4,4,4,4,4,3,3,3,41-55,male,associate
61,4,4,4,4,3,4,4,4,4,5,6,5,older_than_70,female,associate
70,6,5,6,6,5,7,6,5,7,5,5,5,26-34,female,master
63,6,5,6,6,7,6,7,5,6,2,4,4,older_than_70,male,high_school
66,2,4,1,2,1,3,1,4,2,5,6,4,56-70,male,some_college
59,7,7,7,7,7,7,7,5,7,6,6,6,56-70,male,bachelor
57,2,2,2,2,2,1,2,2,2,2,3,4,56-70,male,trade_technical
78,5,6,6,5,5,6,5,6,4,5,5,5,26-34,male,high_school
56,6,6,6,6,6,6,6,6,6,5,5,5,41-55,male,master
79,7,7,7,4,7,7,7,7,7,4,4,5,41-55,female,high_school
62,2,7,5,4,1,5,2,2,3,2,3,3,26-34,female,high_school
65,4,4,4,5,5,5,6,5,4,4,5,5,56-70,female,high_school
76,6,4,5,5,5,5,5,5,6,2,5,4,56-70,female,trade_technical
81,6,6,6,6,6,6,6,6,6,2,4,4,56-70,female,high_school
77,2,2,2,2,2,2,2,2,2,2,2,2,41-55,female,bachelor
82,3,4,4,4,4,4,5,6,5,2,4,6,56-70,female,master
73,4,3,4,4,7,7,6,5,6,3,5,6,older_than_70,female,bachelor
72,6,3,6,2,4,7,6,7,6,6,5,6,41-55,male,bachelor
83,3,3,3,3,3,3,4,4,4,3,3,4,41-55,male,doctorate
84,4,4,5,4,5,5,3,6,5,4,3,4,56-70,male,bachelor
85,2,3,3,2,3,3,4,3,3,3,4,4,35-40,female,associate
89,7,7,7,7,7,7,2,7,7,6,6,6,41-55,male,high_school
88,3,4,4,4,3,4,3,3,3,3,3,5,older_than_70,female,master
94,7,6,7,6,7,7,6,7,7,6,5,6,41-55,male,high_school
90,3,4,3,6,3,3,3,3,3,3,3,5,35-40,female,high_school
91,5,4,6,5,6,5,5,4,5,2,2,2,41-55,female,master
92,7,7,7,7,7,7,7,7,7,4,6,6,41-55,male,high_school
86,7,2,2,2,4,2,2,4,4,2,2,4,35-40,female,high_school
