user_id,details,timestamp
22,"{""trial"":0,""method"":""window_size""}",2025-12-04T20:37:19.194993
24,"{""trial"":0,""method"":""window_size""}",2025-12-04T20:37:56.957378
49,"{""trial"":0,""method"":""window_size""}",2025-12-08T12:49:43.097766
49,"{""trial"":0,""method"":""window_size""}",2025-12-08T12:51:39.716617
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:13.260505
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:19.696423
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:24.431360
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:27.347808
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:29.752801
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:31.961420
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:35.396538
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:37.996180
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:40.744195
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:42.607875
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:47.835195
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:54.689297
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:57.076321
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:57.835135
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:14:59.212854
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:02.040031
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:04.133268
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:06.468069
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:06.871313
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:08.487078
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:10.358806
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:11.900633
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:12.116690
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:15.100317
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:15.587459
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:17.311868
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:18.776429
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:19.451814
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:20.588500
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:21.336956
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:22.644915
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:23.472676
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:24.601868
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:25.235145
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:26.975335
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:28.377333
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:29.917982
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:31.030792
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:32.669006
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:34.376408
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:36.241862
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:38.512675
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:38.736861
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:40.757274
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:42.225438
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:43.740808
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:46.305289
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:46.813076
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:47.755698
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:49.738766
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:50.472794
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:51.796577
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:53.484273
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:55.489407
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:56.131347
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:58.486275
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:15:59.508396
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:16:00.529300
67,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:16:01.656706
70,"{""trial"":0,""method"":""window_size""}",2025-12-08T18:16:02.674915
