user_id,csv_row_id,db_ps,csv_ps,db_dprime_h,csv_dprime_h,db_dprime_s,csv_dprime_s,ps_needs_update,dprime_h_needs_update,dprime_s_needs_update
31.0,237,0.5,0.35,2.5,2.5,2.3,1.5,True,False,True
32.0,276,0.35,0.5,1.9,1.1,2.5,0.5,True,True,True
33.0,236,0.2,0.35,1.5,2.5,1.1,1.3,True,True,True
34.0,257,0.35,0.5,1.5,0.7,1.9,1.1,True,True,True
35.0,74,0.5,0.2,2.1,1.7,2.3,1.9,True,True,True
36.0,218,0.2,0.35,0.5,2.1,0.7,2.1,True,True,True
37.0,89,0.2,0.2,0.5,2.1,1.1,0.5,False,True,True
38.0,170,0.5,0.35,2.1,1.3,0.7,1.3,True,True,True
42.0,128,0.5,0.35,0.7,0.5,0.5,1.7,True,True,True
44.0,67,0.35,0.2,2.3,1.7,0.9,0.5,True,True,True
45.0,5,0.5,0.2,1.9,0.5,1.5,1.3,True,True,True
46.0,229,0.5,0.35,0.7,2.3,0.5,2.1,True,True,True
47.0,212,0.2,0.35,0.5,2.1,2.1,0.9,True,True,True
48.0,160,0.35,0.35,1.1,1.1,1.7,1.5,False,False,True
49.0,103,0.5,0.2,0.7,2.3,0.5,1.1,True,True,True
50.0,283,0.5,0.5,0.7,1.1,1.3,1.9,False,True,True
51.0,342,0.2,0.5,1.1,2.3,0.7,0.5,True,True,True
52.0,230,0.2,0.35,2.3,2.3,1.3,2.3,True,False,True
53.0,201,0.35,0.35,2.1,1.9,1.3,0.9,False,True,True
54.0,52,0.5,0.2,2.3,1.3,0.7,1.9,True,True,True
55.0,345,0.2,0.5,2.3,2.3,1.9,1.1,True,False,True
56.0,305,0.5,0.5,2.5,1.5,0.7,1.9,False,True,True
57.0,356,0.5,0.5,0.9,2.5,1.7,1.1,False,True,True
59.0,311,0.35,0.5,0.5,1.7,1.3,0.9,True,True,True
61.0,209,0.5,0.35,1.1,1.9,0.9,2.5,True,True,True
62.0,293,0.5,0.5,2.5,1.3,0.7,1.7,False,True,True
63.0,63,0.2,0.2,0.9,1.5,0.5,1.9,False,True,True
65.0,153,0.5,0.35,0.5,0.9,1.7,2.3,True,True,True
66.0,62,0.35,0.2,1.9,1.5,2.3,1.7,True,True,True
67.0,259,0.5,0.5,1.9,0.7,1.9,1.5,False,True,True
69.0,357,0.35,0.5,1.1,2.5,0.5,1.3,True,True,True
70.0,90,0.5,0.2,2.5,2.1,1.9,0.7,True,True,True
71.0,30,0.35,0.2,2.3,0.9,1.9,1.9,True,True,False
72.0,352,0.5,0.5,2.5,2.3,1.9,2.5,False,True,True
73.0,24,0.2,0.2,1.1,0.9,1.9,0.7,False,True,True
74.0,140,0.2,0.35,1.1,0.7,0.9,1.9,True,True,True
76.0,305,0.35,0.5,1.3,1.5,2.5,1.9,True,True,True
77.0,194,0.5,0.35,1.7,1.7,2.5,1.7,True,False,True
78.0,347,0.35,0.5,1.9,2.3,0.7,1.5,True,True,True
79.0,308,0.5,0.5,0.9,1.5,1.9,2.5,False,True,True
81.0,187,0.5,0.35,2.5,1.5,1.9,2.5,True,True,True
82.0,11,0.5,0.2,0.5,0.5,2.3,2.5,True,False,True
83.0,205,0.5,0.35,0.5,1.9,2.1,1.7,True,True,True
84.0,221,0.2,0.35,2.5,2.3,1.3,0.5,True,True,True
85.0,183,0.5,0.35,2.3,1.5,2.3,1.7,True,True,True
86.0,117,0.35,0.2,0.9,2.5,0.5,1.7,True,True,True
88.0,121,0.5,0.2,0.7,2.5,2.1,2.5,True,True,True
89.0,172,0.35,0.35,2.5,1.3,1.7,1.7,False,True,False
90.0,79,0.2,0.2,0.9,1.9,1.5,0.7,False,True,True
91.0,184,0.2,0.35,1.1,1.5,2.1,1.9,True,True,True
92.0,95,0.35,0.2,1.5,2.1,1.1,1.7,True,True,True
94.0,316,0.2,0.5,2.5,1.7,1.3,1.9,True,True,True
