user_id,csv_row_id,db_ps,csv_ps,db_dprime_h,csv_dprime_h,db_dprime_s,csv_dprime_s,ps_match,dprime_h_match,dprime_s_match
31.0,237,0.5,0.35,2.5,2.5,2.3,1.5,False,True,False
32.0,276,0.35,0.5,1.9,1.1,2.5,0.5,False,False,False
33.0,236,0.2,0.35,1.5,2.5,1.1,1.3,False,False,False
34.0,257,0.35,0.5,1.5,0.7,1.9,1.1,False,False,False
35.0,74,0.5,0.2,2.1,1.7,2.3,1.9,False,False,False
36.0,218,0.2,0.35,0.5,2.1,0.7,2.1,False,False,False
37.0,89,0.2,0.2,0.5,2.1,1.1,0.5,True,False,False
38.0,170,0.5,0.35,2.1,1.3,0.7,1.3,False,False,False
42.0,128,0.5,0.35,0.7,0.5,0.5,1.7,False,False,False
44.0,67,0.35,0.2,2.3,1.7,0.9,0.5,False,False,False
45.0,5,0.5,0.2,1.9,0.5,1.5,1.3,False,False,False
46.0,229,0.5,0.35,0.7,2.3,0.5,2.1,False,False,False
47.0,212,0.2,0.35,0.5,2.1,2.1,0.9,False,False,False
48.0,160,0.35,0.35,1.1,1.1,1.7,1.5,True,True,False
49.0,103,0.5,0.2,0.7,2.3,0.5,1.1,False,False,False
50.0,283,0.5,0.5,0.7,1.1,1.3,1.9,True,False,False
51.0,342,0.2,0.5,1.1,2.3,0.7,0.5,False,False,False
52.0,230,0.2,0.35,2.3,2.3,1.3,2.3,False,True,False
53.0,201,0.35,0.35,2.1,1.9,1.3,0.9,True,False,False
54.0,52,0.5,0.2,2.3,1.3,0.7,1.9,False,False,False
55.0,345,0.2,0.5,2.3,2.3,1.9,1.1,False,True,False
56.0,305,0.5,0.5,2.5,1.5,0.7,1.9,True,False,False
57.0,356,0.5,0.5,0.9,2.5,1.7,1.1,True,False,False
59.0,311,0.35,0.5,0.5,1.7,1.3,0.9,False,False,False
61.0,209,0.5,0.35,1.1,1.9,0.9,2.5,False,False,False
62.0,293,0.5,0.5,2.5,1.3,0.7,1.7,True,False,False
63.0,63,0.2,0.2,0.9,1.5,0.5,1.9,True,False,False
65.0,153,0.5,0.35,0.5,0.9,1.7,2.3,False,False,False
66.0,62,0.35,0.2,1.9,1.5,2.3,1.7,False,False,False
67.0,259,0.5,0.5,1.9,0.7,1.9,1.5,True,False,False
69.0,357,0.35,0.5,1.1,2.5,0.5,1.3,False,False,False
70.0,90,0.5,0.2,2.5,2.1,1.9,0.7,False,False,False
71.0,30,0.35,0.2,2.3,0.9,1.9,1.9,False,False,True
72.0,352,0.5,0.5,2.5,2.3,1.9,2.5,True,False,False
73.0,24,0.2,0.2,1.1,0.9,1.9,0.7,True,False,False
74.0,140,0.2,0.35,1.1,0.7,0.9,1.9,False,False,False
76.0,305,0.35,0.5,1.3,1.5,2.5,1.9,False,False,False
77.0,194,0.5,0.35,1.7,1.7,2.5,1.7,False,True,False
78.0,347,0.35,0.5,1.9,2.3,0.7,1.5,False,False,False
79.0,308,0.5,0.5,0.9,1.5,1.9,2.5,True,False,False
81.0,187,0.5,0.35,2.5,1.5,1.9,2.5,False,False,False
82.0,11,0.5,0.2,0.5,0.5,2.3,2.5,False,True,False
83.0,205,0.5,0.35,0.5,1.9,2.1,1.7,False,False,False
84.0,221,0.2,0.35,2.5,2.3,1.3,0.5,False,False,False
85.0,183,0.5,0.35,2.3,1.5,2.3,1.7,False,False,False
86.0,117,0.35,0.2,0.9,2.5,0.5,1.7,False,False,False
88.0,121,0.5,0.2,0.7,2.5,2.1,2.5,False,False,False
89.0,172,0.35,0.35,2.5,1.3,1.7,1.7,True,False,True
90.0,79,0.2,0.2,0.9,1.9,1.5,0.7,True,False,False
91.0,184,0.2,0.35,1.1,1.5,2.1,1.9,False,False,False
92.0,95,0.35,0.2,1.5,2.1,1.1,1.7,False,False,False
94.0,316,0.2,0.5,2.5,1.7,1.3,1.9,False,False,False
