user_id,ps,dprime_h,dprime_s,accuracy,hit_rate,false_alarm_rate,dprime_s_group,dprime_h_group
33,0.2,1.5,1.1,0.75,0.5428571428571428,0.13846153846153847,Medium-Low (0.9-1.3),Medium-High (1.5-1.9)
34,0.35,1.5,1.9,0.57,0.5283018867924528,0.3829787234042553,Medium-High (1.5-1.9),Medium-High (1.5-1.9)
36,0.2,0.5,0.7,0.88,0.7741935483870968,0.07246376811594203,Low (0.5-0.7),Low (0.5-0.7)
31,0.5,2.5,2.3,0.84,0.8378378378378378,0.15873015873015872,High (2.1-2.5),High (2.1-2.5)
32,0.35,1.9,2.5,0.72,0.8571428571428571,0.4117647058823529,High (2.1-2.5),Medium-High (1.5-1.9)
38,0.5,2.1,0.7,0.79,0.5833333333333334,0.09375,Low (0.5-0.7),High (2.1-2.5)
37,0.2,0.5,1.1,0.85,0.4444444444444444,0.06097560975609756,Medium-Low (0.9-1.3),Low (0.5-0.7)
42,0.5,0.7,0.5,0.78,0.6388888888888888,0.140625,Low (0.5-0.7),Low (0.5-0.7)
44,0.35,2.3,0.9,0.67,0.19047619047619047,0.20253164556962025,Medium-Low (0.9-1.3),High (2.1-2.5)
46,0.5,0.7,0.5,0.82,0.75,0.14705882352941177,Low (0.5-0.7),Low (0.5-0.7)
48,0.35,1.1,1.7,0.75,0.5555555555555556,0.140625,Medium-High (1.5-1.9),Medium-Low (0.9-1.3)
49,0.5,0.7,0.5,0.81,0.16666666666666666,0.04878048780487805,Low (0.5-0.7),Low (0.5-0.7)
50,0.5,0.7,1.3,0.86,0.8367346938775511,0.11764705882352941,Medium-Low (0.9-1.3),Low (0.5-0.7)
45,0.5,1.9,1.5,0.79,0.42105263157894735,0.12345679012345678,Medium-High (1.5-1.9),Medium-High (1.5-1.9)
47,0.2,0.5,2.1,0.87,0.7647058823529411,0.07575757575757576,High (2.1-2.5),Low (0.5-0.7)
35,0.5,2.1,2.3,0.81,0.5,0.1125,High (2.1-2.5),High (2.1-2.5)
51,0.2,1.1,0.7,0.6,0.6111111111111112,0.41304347826086957,Low (0.5-0.7),Medium-Low (0.9-1.3)
53,0.35,2.1,1.3,0.71,0.4444444444444444,0.140625,Medium-Low (0.9-1.3),High (2.1-2.5)
52,0.2,2.3,1.3,0.76,0.7428571428571429,0.23076923076923078,Medium-Low (0.9-1.3),High (2.1-2.5)
54,0.5,2.3,0.7,0.83,0.4,0.0625,Low (0.5-0.7),High (2.1-2.5)
62,0.5,2.5,0.7,0.77,0.7843137254901961,0.24489795918367346,Low (0.5-0.7),High (2.1-2.5)
55,0.2,2.3,1.9,0.88,0.8627450980392157,0.10204081632653061,Medium-High (1.5-1.9),High (2.1-2.5)
67,0.5,1.9,1.9,0.81,0.7843137254901961,0.16326530612244897,Medium-High (1.5-1.9),Medium-High (1.5-1.9)
59,0.35,0.5,1.3,0.67,0.7708333333333334,0.4230769230769231,Medium-Low (0.9-1.3),Low (0.5-0.7)
56,0.5,2.5,0.7,0.89,0.8723404255319149,0.09433962264150944,Low (0.5-0.7),High (2.1-2.5)
61,0.5,1.1,0.9,0.74,0.7,0.24285714285714285,Medium-Low (0.9-1.3),Medium-Low (0.9-1.3)
66,0.35,1.9,2.3,0.79,0.45454545454545453,0.11538461538461539,High (2.1-2.5),Medium-High (1.5-1.9)
70,0.5,2.5,1.9,0.78,0.0,0.012658227848101266,Medium-High (1.5-1.9),High (2.1-2.5)
63,0.2,0.9,0.5,0.86,0.5238095238095238,0.05063291139240506,Low (0.5-0.7),Medium-Low (0.9-1.3)
71,0.35,2.3,1.9,0.52,0.5555555555555556,0.4878048780487805,Medium-High (1.5-1.9),High (2.1-2.5)
57,0.5,0.9,1.7,0.83,0.8979591836734694,0.23529411764705882,Medium-High (1.5-1.9),Medium-Low (0.9-1.3)
69,0.35,1.1,0.5,0.76,0.7446808510638298,0.22641509433962265,Low (0.5-0.7),Medium-Low (0.9-1.3)
