user_id,block_number,trial_number,classification_decision,stimulus_seen,dss_judgment,decision_time,correct_classification
5,1,1,noise,5.3,noise,7.354251,noise
5,1,2,noise,7.39,noise,1.196532,noise
5,1,3,noise,6.51,noise,2.25853,signal
5,1,4,signal,7.3,noise,3.21324,signal
5,1,5,signal,6.2,noise,1.386178,noise
5,1,6,signal,5.42,noise,1.149093,noise
5,1,7,signal,6.82,noise,1.526327,noise
5,1,8,signal,7.31,noise,2.117653,signal
5,1,9,signal,7.8,signal,1.980877,signal
5,1,10,signal,5.9,signal,1.168731,signal
5,2,1,signal,6.94,signal,6.211871,noise
5,2,2,signal,6.73,signal,2.367911,noise
5,2,3,signal,5.16,signal,1.988586,noise
5,2,4,signal,6.87,noise,1.896776,signal
5,2,5,signal,6.28,noise,2.229689,noise
5,2,6,signal,5.07,signal,1.459053,signal
5,2,7,signal,6.79,signal,1.465711,noise
5,2,8,signal,8.05,signal,1.444086,signal
5,2,9,signal,6.47,signal,1.605903,noise
5,2,10,signal,6.26,signal,1.501456,signal
5,3,1,noise,6.69,noise,4.336783,noise
5,3,2,noise,6.48,signal,1.369112,noise
5,3,3,noise,7.47,signal,1.226252,signal
5,3,4,noise,6.73,noise,1.931155,noise
5,3,5,noise,6.65,noise,1.775849,noise
5,3,6,noise,4.04,noise,1.624806,noise
5,3,7,signal,8.44,signal,2.222637,signal
5,3,8,noise,7.84,noise,1.653733,signal
5,3,9,noise,5.66,noise,1.14975,noise
5,3,10,noise,5.03,noise,1.100482,noise
5,3,11,noise,5.6,noise,1.084168,noise
5,3,12,signal,5.59,signal,2.326008,noise
5,3,13,signal,7.38,noise,3.157686,noise
5,3,14,noise,7.44,noise,2.143507,signal
5,3,15,noise,8.35,signal,1.982399,signal
5,3,16,signal,7.19,signal,2.859554,signal
5,3,17,signal,8.35,signal,1.975238,noise
5,3,18,noise,4.07,signal,2.24085,noise
5,3,19,noise,5.03,noise,1.710401,noise
5,3,20,noise,5.76,noise,1.923448,signal
5,3,21,signal,6.27,signal,3.413282,signal
