user_id,ps,dprime_h,dprime_s,accuracy,hit_rate,false_alarm_rate,dprime_s_group,dprime_h_group
1,0.5,0.7,1.9,0.5,0.32,0.32,Medium-High (1.5-1.9),Low (0.5-0.7)
5,0.35,0.9,0.5,0.69,0.2727272727272727,0.1044776119402985,Low (0.5-0.7),Medium-Low (0.9-1.3)
6,0.2,1.1,1.3,0.76,0.85,0.2625,Medium-Low (0.9-1.3),Medium-Low (0.9-1.3)
8,0.35,0.7,1.9,0.83,0.7777777777777778,0.140625,Medium-High (1.5-1.9),Low (0.5-0.7)
9,0.2,0.7,0.9,0.74,0.3157894736842105,0.16049382716049382,Medium-Low (0.9-1.3),Low (0.5-0.7)
10,0.5,1.3,1.3,0.52,0.5833333333333334,0.5384615384615384,Medium-Low (0.9-1.3),Medium-Low (0.9-1.3)
12,0.5,1.3,1.5,0.61,0.6938775510204082,0.47058823529411764,Medium-High (1.5-1.9),Medium-Low (0.9-1.3)
11,0.5,0.5,1.9,0.77,0.78,0.24,Medium-High (1.5-1.9),Low (0.5-0.7)
14,0.5,1.3,2.1,0.84,0.8431372549019608,0.16326530612244897,High (2.1-2.5),Medium-Low (0.9-1.3)
13,0.5,0.9,1.1,0.69,0.6530612244897959,0.27450980392156865,Medium-Low (0.9-1.3),Medium-Low (0.9-1.3)
18,0.35,1.7,2.3,0.84,0.7714285714285715,0.12307692307692308,High (2.1-2.5),Medium-High (1.5-1.9)
15,0.5,1.3,0.9,0.67,0.7254901960784313,0.3877551020408163,Medium-Low (0.9-1.3),Medium-Low (0.9-1.3)
19,0.5,1.1,0.5,0.57,0.3137254901960784,0.16326530612244897,Low (0.5-0.7),Medium-Low (0.9-1.3)
21,0.2,0.5,2.3,0.74,0.3157894736842105,0.16049382716049382,High (2.1-2.5),Low (0.5-0.7)
22,0.35,0.5,1.1,0.62,0.3142857142857143,0.2153846153846154,Medium-Low (0.9-1.3),Low (0.5-0.7)
23,0.2,2.5,0.9,0.74,0.0,0.06329113924050633,Medium-Low (0.9-1.3),High (2.1-2.5)
26,0.5,0.9,2.5,0.45,0.425531914893617,0.5283018867924528,High (2.1-2.5),Medium-Low (0.9-1.3)
28,0.2,1.1,1.1,0.72,0.4782608695652174,0.2077922077922078,Medium-Low (0.9-1.3),Medium-Low (0.9-1.3)
31,0.35,2.3,0.7,0.9,0.8918918918918919,0.09523809523809523,Low (0.5-0.7),High (2.1-2.5)
33,0.5,2.1,0.9,0.71,0.6923076923076923,0.2708333333333333,Medium-Low (0.9-1.3),High (2.1-2.5)
32,0.5,1.1,1.1,0.7,0.75,0.3541666666666667,Medium-Low (0.9-1.3),Medium-Low (0.9-1.3)
34,0.5,1.5,1.3,0.67,0.68,0.34,Medium-Low (0.9-1.3),Medium-High (1.5-1.9)
37,0.35,2.5,0.5,0.66,0.5405405405405406,0.2698412698412698,Low (0.5-0.7),High (2.1-2.5)
38,0.2,0.7,1.3,0.71,0.2857142857142857,0.17721518987341772,Medium-Low (0.9-1.3),Low (0.5-0.7)
36,0.35,1.1,0.5,0.59,0.42105263157894735,0.3064516129032258,Low (0.5-0.7),Medium-Low (0.9-1.3)
40,0.2,1.9,1.3,0.76,0.6086956521739131,0.19480519480519481,Medium-Low (0.9-1.3),Medium-High (1.5-1.9)
42,0.5,1.3,1.9,0.85,0.8627450980392157,0.16326530612244897,Medium-High (1.5-1.9),Medium-Low (0.9-1.3)
39,0.2,1.9,1.1,0.72,0.4090909090909091,0.19230769230769232,Medium-Low (0.9-1.3),Medium-High (1.5-1.9)
44,0.5,0.9,0.9,0.56,0.58,0.46,Medium-Low (0.9-1.3),Medium-Low (0.9-1.3)
