iter	Passed	Remaining
0	65	6510
1	72	3549
2	78	2544
3	85	2040
4	91	1733
5	97	1521
6	102	1366
7	108	1253
8	114	1158
9	120	1085
10	126	1020
11	131	966
12	137	921
13	143	881
14	149	844
15	155	815
16	160	785
17	166	757
18	171	732
19	177	709
20	182	688
21	188	669
22	194	652
23	200	634
24	206	618
25	211	601
26	216	586
27	222	572
28	229	562
29	235	549
30	241	537
31	246	524
32	252	512
33	257	500
34	263	489
35	269	478
36	274	468
37	280	457
38	286	448
39	292	438
40	298	428
41	303	419
42	309	410
43	315	401
44	320	392
45	326	383
46	332	374
47	338	366
48	343	357
49	349	349
50	355	341
51	360	333
52	366	325
53	372	317
54	381	312
55	387	304
56	392	296
57	398	288
58	404	281
59	410	273
60	416	266
61	422	258
62	428	251
63	433	243
64	439	236
65	445	229
66	451	222
67	456	215
68	462	207
69	468	200
70	474	193
71	479	186
72	485	179
73	490	172
74	496	165
75	502	158
76	508	151
77	513	144
78	519	138
79	525	131
80	531	124
81	536	117
82	542	111
83	548	104
84	553	97
85	559	91
86	565	84
87	571	77
88	576	71
89	582	64
90	588	58
91	593	51
92	599	45
93	605	38
94	611	32
95	617	25
96	623	19
97	628	12
98	634	6
99	639	0
