id,ps,dprime_h,dprime_s,n_signal,n_noise,mean_H|S,mean_H|N,mean_S|S,mean_S|N,sd_H|S,sd_H|N,sd_S|S,sd_S|N,abs_err_H|S,abs_err_H|N,abs_err_S|S,abs_err_S|N
1,0.2,0.5,0.5,24,96,0.25,-0.24999999999999997,0.25,-0.25,1.1139434851098189,0.9202892154559947,0.9918145221943743,0.9378300226638793,0.0,2.7755575615628914e-17,0.0,0.0
2,0.2,0.5,0.7,24,96,0.24999999999999992,-0.25,0.3499999999999999,-0.3499999999999999,0.843077127105474,0.8757869335893828,1.1418222401330695,1.0543736179707062,8.326672684688674e-17,0.0,5.551115123125783e-17,5.551115123125783e-17
3,0.2,0.5,0.9,24,96,0.25000000000000006,-0.24999999999999992,0.45,-0.45,0.9561630824410975,0.9038823690855068,1.0291847688185156,1.1376958727317723,5.551115123125783e-17,8.326672684688674e-17,0.0,0.0
4,0.2,0.5,1.1,24,96,0.25000000000000006,-0.24999999999999992,0.5500000000000002,-0.5499999999999999,0.948746095498863,1.0308344957147653,0.9644621720457711,0.9939152906893951,5.551115123125783e-17,8.326672684688674e-17,1.1102230246251565e-16,1.1102230246251565e-16
5,0.2,0.5,1.3,24,96,0.25,-0.25000000000000006,0.65,-0.65,1.219699805705427,1.0517169026344486,1.0746523212201766,1.0445178013580727,0.0,5.551115123125783e-17,0.0,0.0
6,0.2,0.5,1.5,24,96,0.25000000000000006,-0.25,0.75,-0.75,0.8660784906473373,0.9013131526373072,0.7100092803534779,1.0407875355193197,5.551115123125783e-17,0.0,0.0,0.0
7,0.2,0.5,1.7,24,96,0.25,-0.24999999999999997,0.85,-0.85,0.6878012360577325,1.0213814784486297,0.941076070522668,0.9652304651341586,0.0,2.7755575615628914e-17,0.0,0.0
8,0.2,0.5,1.9,24,96,0.25,-0.25000000000000006,0.9499999999999998,-0.9500000000000001,1.088471681347976,0.99640773766698,0.7946985728272151,0.9859362646387408,0.0,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
9,0.2,0.5,2.1,24,96,0.25,-0.25,1.0499999999999998,-1.05,0.8061601917046514,0.9281435138567621,1.3004034130338116,0.9284453740589462,0.0,0.0,2.220446049250313e-16,0.0
10,0.2,0.5,2.3,24,96,0.25,-0.25,1.1499999999999997,-1.1500000000000001,1.1194948109258862,0.9296693815033592,1.0803962275115793,1.0053935599113348,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
11,0.2,0.5,2.5,24,96,0.25000000000000006,-0.24999999999999997,1.2500000000000002,-1.2499999999999998,1.0907080404897316,1.0531633249042682,1.1132764485171895,1.0739677746123053,5.551115123125783e-17,2.7755575615628914e-17,2.220446049250313e-16,2.220446049250313e-16
12,0.2,0.7,0.5,24,96,0.34999999999999987,-0.35000000000000003,0.24999999999999992,-0.24999999999999992,1.2379655136780463,1.0230367380610716,0.9458217439924579,1.1012111100410018,1.1102230246251565e-16,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17
13,0.2,0.7,0.7,24,96,0.3499999999999999,-0.35000000000000003,0.3500000000000001,-0.3500000000000001,1.208767781393695,0.8898632084519018,0.9119477808788312,1.0021195281520072,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
14,0.2,0.7,0.9,24,96,0.35000000000000003,-0.3499999999999999,0.45,-0.45,0.797863786076916,0.9999038590366617,1.1491574976859231,1.075956977925322,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0
15,0.2,0.7,1.1,24,96,0.3499999999999999,-0.34999999999999987,0.55,-0.5499999999999999,1.2037529803708915,0.9376596261882125,0.804118292517791,0.8898096780980366,5.551115123125783e-17,1.1102230246251565e-16,0.0,1.1102230246251565e-16
16,0.2,0.7,1.3,24,96,0.35000000000000003,-0.3499999999999999,0.6500000000000001,-0.6500000000000001,1.3992206608696074,0.9909145675850719,1.1566265273170242,1.0532128992734262,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
17,0.2,0.7,1.5,24,96,0.3499999999999999,-0.35000000000000003,0.7499999999999999,-0.75,1.089721029691095,1.0938432963018578,1.140564056335566,1.0717597935960905,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,0.0
18,0.2,0.7,1.7,24,96,0.3499999999999999,-0.35000000000000003,0.85,-0.85,1.0340201454485198,0.9789312533812572,0.6916236610632088,0.9936613381389905,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0
19,0.2,0.7,1.9,24,96,0.3499999999999999,-0.3499999999999999,0.9500000000000001,-0.9499999999999998,1.156115328923831,0.9989616941017795,0.8169722318923769,0.9104692183309827,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
20,0.2,0.7,2.1,24,96,0.3499999999999998,-0.3499999999999999,1.05,-1.05,1.0949850929821985,0.9570548994843664,1.0054533041285463,1.021450169331971,1.6653345369377348e-16,5.551115123125783e-17,0.0,0.0
21,0.2,0.7,2.3,24,96,0.35000000000000003,-0.3499999999999999,1.1500000000000001,-1.1499999999999997,1.1887266141018022,1.0421926236934482,0.7947620082109712,1.0735530914326292,5.551115123125783e-17,5.551115123125783e-17,2.220446049250313e-16,2.220446049250313e-16
22,0.2,0.7,2.5,24,96,0.3500000000000001,-0.35000000000000003,1.25,-1.2499999999999998,1.0369184197747878,0.8964134104401904,0.8367594966221266,0.9193557232322755,1.1102230246251565e-16,5.551115123125783e-17,0.0,2.220446049250313e-16
23,0.2,0.9,0.5,24,96,0.4500000000000001,-0.45,0.24999999999999992,-0.25,0.8266309644863786,0.919277843924234,0.8641513632287551,0.838562373281866,1.1102230246251565e-16,0.0,8.326672684688674e-17,0.0
24,0.2,0.9,0.7,24,96,0.4500000000000001,-0.45,0.3499999999999999,-0.3499999999999999,0.9250624109995512,0.8991338851883006,1.1863610468235757,0.9902363075611283,1.1102230246251565e-16,0.0,5.551115123125783e-17,5.551115123125783e-17
25,0.2,0.9,0.9,24,96,0.44999999999999996,-0.45,0.45,-0.44999999999999996,1.02097909879544,1.093320477599711,0.9717127984314581,1.1220834603211283,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17
26,0.2,0.9,1.1,24,96,0.45,-0.45,0.55,-0.5499999999999999,0.9433492837696339,1.0876602506740212,1.0485587694349912,1.1573703297725089,0.0,0.0,0.0,1.1102230246251565e-16
27,0.2,0.9,1.3,24,96,0.45,-0.45,0.6499999999999999,-0.6499999999999999,0.9410186099394855,1.0413669560029888,1.1776014816872464,1.0880294948376017,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16
28,0.2,0.9,1.5,24,96,0.44999999999999996,-0.45,0.75,-0.75,0.9536385041127894,1.0627646116094858,1.2846307612739096,0.9470016598865989,5.551115123125783e-17,0.0,0.0,0.0
29,0.2,0.9,1.7,24,96,0.45,-0.4499999999999999,0.85,-0.85,0.8774017754525365,0.9160078990923526,1.2396239249889525,1.04522021454387,0.0,1.1102230246251565e-16,0.0,0.0
30,0.2,0.9,1.9,24,96,0.45,-0.44999999999999996,0.9499999999999998,-0.9499999999999998,0.7164566053577386,0.9969667203441203,0.8557662202323769,0.9620094503536437,0.0,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
31,0.2,0.9,2.1,24,96,0.45,-0.45,1.05,-1.05,0.7521543232961471,1.0821872323946886,0.9586672850823461,1.0443805703507443,0.0,0.0,0.0,0.0
32,0.2,0.9,2.3,24,96,0.45,-0.44999999999999996,1.1500000000000001,-1.1499999999999997,0.96183099731134,1.0416074408059601,0.9351881422733798,0.9672954617712854,0.0,5.551115123125783e-17,2.220446049250313e-16,2.220446049250313e-16
33,0.2,0.9,2.5,24,96,0.4500000000000002,-0.45,1.25,-1.25,1.162938522360447,0.9537156447276046,1.08776091120843,1.0806051762388627,1.6653345369377348e-16,0.0,0.0,0.0
34,0.2,1.1,0.5,24,96,0.5500000000000002,-0.55,0.25,-0.25,0.8095860880085469,1.0435630500940196,0.7802152986824407,0.9882297787762024,1.1102230246251565e-16,0.0,0.0,0.0
35,0.2,1.1,0.7,24,96,0.5500000000000002,-0.5499999999999999,0.3499999999999999,-0.35000000000000003,0.9037137176042107,0.9312730292897755,0.9363755285095325,0.9386603557268967,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17
36,0.2,1.1,0.9,24,96,0.5500000000000002,-0.55,0.45,-0.4499999999999999,0.9367758619823646,0.9286776401857451,0.8526295857076882,0.9883453016957551,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16
37,0.2,1.1,1.1,24,96,0.55,-0.5499999999999999,0.55,-0.55,1.0927334715652803,0.9557426767139628,1.1143373631161344,0.9898592189673509,0.0,1.1102230246251565e-16,0.0,0.0
38,0.2,1.1,1.3,24,96,0.5500000000000002,-0.55,0.65,-0.6500000000000001,0.8818907439004454,0.9643718025526296,1.0158218490217978,0.9289152472691022,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16
39,0.2,1.1,1.5,24,96,0.5499999999999999,-0.55,0.7500000000000001,-0.75,0.7704403085658725,0.8859402595384412,1.015874336907409,0.9053412194759642,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0
40,0.2,1.1,1.7,24,96,0.5500000000000002,-0.5499999999999999,0.85,-0.85,0.958603853206158,1.0275333406181502,1.0417968169672922,1.102864838948264,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0
