id,early_userS,late_userS,delta_userS,early_evtS,late_evtS,delta_evtS
1,0.625,0.375,-0.25,0.625,0.125,-0.5
4,0.25,0.25,0.0,0.375,0.375,0.0
5,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
6,0.5,0.375,-0.125,0.625,0.125,-0.5
8,0.1875,0.5625,0.375,0.0625,0.4375,0.375
9,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
10,0.5,0.5,0.0,0.5,0.25,-0.25
11,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
14,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
15,0.375,0.375,0.0,0.375,0.375,0.0
17,0.625,0.5,-0.125,0.375,0.375,0.0
18,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
19,0.5,0.5,0.0,0.5,0.25,-0.25
21,0.5,0.375,-0.125,0.625,0.125,-0.5
22,0.5,0.375,-0.125,0.625,0.125,-0.5
23,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
25,0.1875,0.5625,0.375,0.0625,0.4375,0.375
27,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
29,0.625,0.5,-0.125,0.375,0.375,0.0
32,0.625,0.5,-0.125,0.375,0.375,0.0
34,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
36,0.625,0.5,-0.125,0.375,0.375,0.0
39,0.5,0.5,0.0,0.5,0.25,-0.25
42,0.25,0.375,0.125,0.375,0.375,0.0
43,0.375,0.375,0.0,0.625,0.125,-0.5
44,0.375,0.375,0.0,0.625,0.125,-0.5
45,0.25,0.5,0.25,0.5,0.25,-0.25
46,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
48,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
50,0.375,0.375,0.0,0.375,0.375,0.0
51,0.1875,0.5625,0.375,0.0625,0.4375,0.375
52,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
53,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
54,0.5,0.375,-0.125,0.625,0.125,-0.5
55,0.625,0.5,-0.125,0.375,0.375,0.0
56,0.25,0.5,0.25,0.5,0.25,-0.25
57,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
58,0.375,0.375,0.0,0.375,0.375,0.0
60,0.625,0.5,-0.125,0.375,0.375,0.0
61,0.16666666666666666,0.5833333333333334,0.41666666666666674,0.16666666666666666,0.4166666666666667,0.25
62,0.5,0.5,0.0,0.375,0.375,0.0
63,0.16666666666666666,0.5833333333333334,0.41666666666666674,0.16666666666666666,0.4166666666666667,0.25
64,0.5,0.375,-0.125,0.625,0.125,-0.5
65,0.5,0.25,-0.25,0.4166666666666667,0.16666666666666666,-0.25
67,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
68,0.4166666666666667,0.16666666666666666,-0.25,0.4166666666666667,0.16666666666666666,-0.25
72,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
74,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
75,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
76,0.375,0.375,0.0,0.625,0.125,-0.5
78,0.1875,0.625,0.4375,0.0625,0.4375,0.375
79,0.08333333333333333,0.5833333333333334,0.5,0.16666666666666666,0.4166666666666667,0.25
81,0.4375,0.25,-0.1875,0.125,0.125,0.0
82,0.1875,0.5625,0.375,0.0625,0.4375,0.375
83,0.625,0.25,-0.375,0.625,0.125,-0.5
85,0.125,0.5625,0.4375,0.0625,0.4375,0.375
86,0.125,0.5625,0.4375,0.0625,0.4375,0.375
87,0.4166666666666667,0.25,-0.16666666666666669,0.16666666666666666,0.4166666666666667,0.25
89,0.3333333333333333,0.25,-0.08333333333333331,0.4166666666666667,0.16666666666666666,-0.25
90,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
92,0.3333333333333333,0.25,-0.08333333333333331,0.4166666666666667,0.16666666666666666,-0.25
93,0.1875,0.5,0.3125,0.0625,0.4375,0.375
94,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
95,0.5,0.25,-0.25,0.625,0.125,-0.5
97,0.375,0.0,-0.375,0.375,0.0,-0.375
98,0.0,0.5,0.5,0.0,0.4375,0.4375
100,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
101,0.0,0.625,0.625,0.0,0.4375,0.4375
102,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
103,0.375,0.0,-0.375,0.375,0.0,-0.375
104,0.625,0.5,-0.125,0.375,0.375,0.0
105,0.25,0.5,0.25,0.5,0.25,-0.25
106,0.25,0.5,0.25,0.5,0.25,-0.25
110,0.25,0.0,-0.25,0.375,0.0,-0.375
112,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
114,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
121,0.625,0.5,-0.125,0.375,0.375,0.0
122,0.375,0.375,0.0,0.375,0.375,0.0
124,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
125,0.625,0.5,-0.125,0.375,0.375,0.0
126,0.5,0.5,0.0,0.5,0.25,-0.25
129,0.25,0.5,0.25,0.5,0.25,-0.25
130,0.5,0.5,0.0,0.5,0.25,-0.25
131,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
133,0.375,0.25,-0.125,0.375,0.375,0.0
