id,early_userS,late_userS,delta_userS,early_evtS,late_evtS,delta_evtS
1,0.0,0.5625,0.5625,0.0,0.4375,0.4375
4,0.25,0.5625,0.3125,0.0625,0.4375,0.375
5,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
6,0.0,0.625,0.625,0.0,0.4375,0.4375
8,0.375,0.0,-0.375,0.375,0.0,-0.375
9,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
10,0.25,0.45,0.2,0.2,0.35,0.14999999999999997
11,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
14,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
15,0.1875,0.5625,0.375,0.0625,0.4375,0.375
17,0.25,0.25,0.0,0.125,0.125,0.0
18,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
19,0.25,0.55,0.30000000000000004,0.2,0.35,0.14999999999999997
21,0.0,0.5,0.5,0.0,0.4375,0.4375
22,0.0,0.625,0.625,0.0,0.4375,0.4375
23,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.25
25,0.375,0.0,-0.375,0.375,0.0,-0.375
27,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
29,0.1875,0.25,0.0625,0.125,0.125,0.0
32,0.1875,0.25,0.0625,0.125,0.125,0.0
34,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
36,0.25,0.25,0.0,0.125,0.125,0.0
39,0.25,0.55,0.30000000000000004,0.2,0.35,0.14999999999999997
42,0.1875,0.5625,0.375,0.0625,0.4375,0.375
43,0.0,0.5625,0.5625,0.0,0.4375,0.4375
44,0.0,0.625,0.625,0.0,0.4375,0.4375
45,0.25,0.5,0.25,0.2,0.35,0.14999999999999997
46,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
48,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
50,0.1875,0.5625,0.375,0.0625,0.4375,0.375
51,0.375,0.0,-0.375,0.375,0.0,-0.375
52,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
53,0.5833333333333334,0.08333333333333333,-0.5,0.4166666666666667,0.16666666666666666,-0.25
54,0.0,0.625,0.625,0.0,0.4375,0.4375
55,0.1875,0.25,0.0625,0.125,0.125,0.0
56,0.25,0.45,0.2,0.2,0.35,0.14999999999999997
57,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
58,0.1875,0.5625,0.375,0.0625,0.4375,0.375
60,0.125,0.25,0.125,0.125,0.125,0.0
61,0.375,0.25,-0.125,0.3125,0.25,-0.0625
