feature,importance
system_tp_rate_rolling_40,0.07198235
system_fp_rate_rolling_40,0.058487643
system_fp_rate_rolling_21,0.051369008
system_fp_rate_rolling_14,0.047039784
p_signal_mean_rolling_40,0.03825939
system_fp_rate_rolling_7,0.037829507
system_tp_rate_rolling_14,0.03643516
system_tp_rate_rolling_21,0.036073357
p_signal_mean_rolling_21,0.03374491
p_signal_mean_rolling_1,0.0304495
trial,0.030233959
block,0.029815603
system_fp_rate_rolling_1,0.02952931
system_tp_rate_rolling_7,0.026233833
p_signal_mean_rolling_14,0.022351326
