feature,importance
p_signal,0.36449325
ds_recommends_signal,0.17396888
system_d,0.058776524
system_fp_rate_rolling_1,0.025416292
user_tp_given_system_signal_rate_rolling_40,0.023206802
system_fp_rate_rolling_21,0.019755572
user_tp_given_system_noise_rate_rolling_21,0.018294336
fn_rate_rolling_1,0.011270067
user_tp_given_system_noise_rate_rolling_40,0.008691188
system_fp_rate_rolling_3,0.0076850145
purchase_ds_block_num,0.0072285123
system_fn_rate_rolling_7,0.0071799797
tp_rate_rolling_40,0.0064086933
user_tp_given_system_signal_rate_rolling_3,0.005951843
ds_fn_rate_rolling_3,0.005907643
