feature,importance
p_signal,0.56734836
user_tp_given_system_signal_rate_rolling_40,0.051762633
system_fp_rate_rolling_7,0.012628871
user_tp_given_system_noise_rate_rolling_40,0.011084348
system_fp_rate_rolling_1,0.010292535
system_fp_rate_rolling_14,0.008941645
system_fp_rate_rolling_21,0.008620741
ds_tp_rate_rolling_1,0.008263513
system_d,0.008057793
user_tp_given_system_signal_rate_rolling_3,0.008020376
tp_rate_rolling_3,0.0076595526
system_fn_rate_rolling_21,0.0076512634
fn_rate_rolling_21,0.007595385
fp_rate_rolling_40,0.0071118455
user_tp_given_system_signal_rate_rolling_21,0.0068970327
