feature,importance
stimulus,0.6729801
user_tp_given_system_signal_rate_rolling_40,0.052386805
system_tp_rate_rolling_1,0.011402495
user_tp_given_system_noise_rate_rolling_40,0.011115919
user_tp_given_system_noise_rate_rolling_21,0.009720956
system_fn_rate_rolling_1,0.008117283
fn_rate_rolling_21,0.006704635
system_fp_rate_rolling_7,0.0064876974
fn_rate_rolling_40,0.006214495
fp_rate_rolling_40,0.0059136865
fp_rate_rolling_7,0.005804909
block,0.005558661
fp_rate_rolling_1,0.005245885
tp_rate_rolling_14,0.005167083
user_tp_given_system_signal_rate_rolling_3,0.005083598
tp_rate_rolling_3,0.0050418125
classification_time_mean_rolling_3,0.004851553
system_fn_rate_rolling_7,0.004828216
user_tp_given_system_signal_rate_rolling_21,0.0046987627
fp_rate_rolling_14,0.004559767
fn_rate_rolling_14,0.004489078
system_tp_rate_rolling_14,0.0043549193
user_tp_given_system_signal_rate_rolling_14,0.0042221723
system_fp_rate_rolling_14,0.004219101
system_tp_rate_rolling_40,0.004149264
classification_time_mean_rolling_7,0.0041043586
classification_time_mean_rolling_40,0.004097516
signal_rate_rolling_40,0.003976456
fn_rate_rolling_1,0.0039643305
system_fn_rate_rolling_40,0.003935868
stimulus_mean_rolling_40,0.0039034968
system_tp_rate_rolling_3,0.0038755913
classification_time_mean_rolling_21,0.0038680248
classification_time_mean_rolling_14,0.0037667993
system_fn_rate_rolling_3,0.003700704
stimulus_mean_rolling_3,0.0036719446
purchase_ds_block_num,0.0035984244
signal_rate_rolling_3,0.0035371336
fn_rate_rolling_3,0.0034482786
trial,0.0034095822
stimulus_mean_rolling_1,0.003372014
system_fn_rate_rolling_14,0.0033630095
user_tp_given_system_signal_rate_rolling_7,0.003345501
classification_time_mean_rolling_1,0.0033146462
signal_rate_rolling_21,0.0033130513
stimulus_mean_rolling_7,0.0033124457
fp_rate_rolling_21,0.003282017
system_fp_rate_rolling_40,0.003234144
system_fn_rate_rolling_21,0.0032274164
tp_rate_rolling_7,0.0031834156
signal_rate_rolling_7,0.003156566
tp_rate_rolling_40,0.003138192
stimulus_mean_rolling_21,0.0031197905
system_d,0.003005944
fn_rate_rolling_7,0.002834807
stimulus_mean_rolling_14,0.0028079588
user_tp_given_system_noise_rate_rolling_14,0.0027664048
system_tp_rate_rolling_21,0.0027064688
system_fp_rate_rolling_21,0.0026291297
fp_rate_rolling_3,0.0026030452
system_tp_rate_rolling_7,0.0024926881
tp_rate_rolling_21,0.0024589328
tp_rate_rolling_1,0.0023869309
signal_rate_rolling_1,0.002348286
user_tp_given_system_noise_rate_rolling_7,0.0023153797
signal_rate_rolling_14,0.0022514507
system_fp_rate_rolling_3,0.0021135742
user_tp_given_system_noise_rate_rolling_3,0.0017393951
user_tp_given_system_noise_rate_rolling_1,0.0
user_tp_given_system_signal_rate_rolling_1,0.0
is_first_block,0.0
is_first_trial,0.0
system_fp_rate_rolling_1,0.0
dependency_num,0.0
