feature,importance
system_fn_rate_rolling_21,0.09416143
system_fp_rate_rolling_14,0.05284445
system_tp_rate_rolling_7,0.035967782
system_fn_rate_rolling_14,0.03586833
system_fp_rate_rolling_3,0.03573194
system_fn_rate_rolling_1,0.032299414
block,0.031165933
system_fn_rate_rolling_40,0.031115929
system_tp_rate_rolling_14,0.02958531
system_tp_rate_rolling_21,0.029325642
stimulus_mean_rolling_40,0.02796852
system_fn_rate_rolling_3,0.026831111
system_tp_rate_rolling_40,0.025181301
signal_rate_rolling_1,0.02264776
trial,0.021017948
user_tp_given_system_signal_rate_rolling_7,0.020761676
system_fp_rate_rolling_40,0.018677413
system_fp_rate_rolling_7,0.01700898
stimulus_mean_rolling_21,0.016871896
stimulus_mean_rolling_1,0.016377881
stimulus_mean_rolling_7,0.015459199
stimulus_mean_rolling_14,0.014892055
user_tp_given_system_signal_rate_rolling_21,0.012420719
tp_rate_rolling_7,0.012362033
system_tp_rate_rolling_3,0.012260845
stimulus_mean_rolling_3,0.011325105
system_fp_rate_rolling_1,0.0097729545
ds_fn_rate_rolling_1,0.009358492
user_tp_given_ds_alarm_rate_rolling_7,0.008481849
user_tp_given_system_signal_rate_rolling_3,0.008273124
ds_fn_rate_rolling_7,0.0077615078
system_fp_rate_rolling_21,0.007736085
signal_rate_rolling_3,0.0072412514
tp_rate_rolling_3,0.0067837196
system_fn_rate_rolling_7,0.006518624
tp_rate_rolling_14,0.006418088
user_tp_given_system_signal_rate_rolling_40,0.0063368357
user_tp_given_ds_no_alarm_rate_rolling_7,0.0062733977
user_tp_given_system_noise_rate_rolling_1,0.00603404
ds_tp_rate_rolling_40,0.005879441
user_tp_given_system_signal_rate_rolling_14,0.00570717
fn_rate_rolling_3,0.0052981838
user_tp_given_system_noise_rate_rolling_21,0.0048450204
fp_rate_rolling_7,0.0047818455
ds_fp_rate_rolling_1,0.0046613077
user_tp_given_system_noise_rate_rolling_3,0.004578402
fp_rate_rolling_3,0.0044662026
ds_fp_rate_rolling_21,0.004279948
user_ds_agreement_rate_rolling_3,0.004233756
dependency_num,0.00416196
user_tp_given_ds_no_alarm_rate_rolling_1,0.004155928
ds_fp_rate_rolling_40,0.0041363593
signal_rate_rolling_14,0.004044409
system_tp_rate_rolling_1,0.004044035
ds_fp_rate_rolling_14,0.0040310174
ds_fn_rate_rolling_21,0.0039931787
user_tp_given_system_noise_rate_rolling_40,0.003984255
ds_fp_rate_rolling_3,0.00397624
user_tp_given_system_signal_rate_rolling_1,0.0039392845
tp_rate_rolling_40,0.0038847234
signal_rate_rolling_7,0.0038222116
fp_rate_rolling_14,0.0038125147
ds_tp_rate_rolling_21,0.0036346777
ds_fn_rate_rolling_40,0.0035878308
fn_rate_rolling_14,0.0035509453
fn_rate_rolling_7,0.0034992916
fn_rate_rolling_1,0.0032868504
ds_fn_rate_rolling_14,0.0032727306
fp_rate_rolling_40,0.0031246224
user_tp_given_system_noise_rate_rolling_14,0.0031232715
fp_rate_rolling_21,0.0030764684
tp_rate_rolling_1,0.0029585485
tp_rate_rolling_21,0.0028412673
ds_tp_rate_rolling_14,0.0028175774
ds_tp_rate_rolling_3,0.0027416574
system_d,0.0026468113
fp_rate_rolling_1,0.0026343982
ds_fp_rate_rolling_7,0.0025213123
user_ds_agreement_rate_rolling_21,0.0025174324
user_tp_given_ds_alarm_rate_rolling_40,0.0024652672
user_tp_given_ds_no_alarm_rate_rolling_40,0.0023414262
user_ds_agreement_rate_rolling_7,0.0023157033
fn_rate_rolling_40,0.0022766392
ds_fn_rate_rolling_3,0.0022589746
user_ds_agreement_rate_rolling_1,0.0021282418
signal_rate_rolling_40,0.002121341
ds_tp_rate_rolling_7,0.0021165663
user_ds_agreement_rate_rolling_14,0.002028286
user_tp_given_ds_alarm_rate_rolling_14,0.0020157038
user_tp_given_ds_no_alarm_rate_rolling_14,0.0019923511
user_tp_given_ds_alarm_rate_rolling_21,0.0019079273
ds_tp_rate_rolling_1,0.0018471963
purchase_ds_block_num,0.0017968788
signal_rate_rolling_21,0.0017885274
fn_rate_rolling_21,0.0017696692
user_tp_given_ds_alarm_rate_rolling_3,0.0017639969
user_ds_agreement_rate_rolling_40,0.0016786323
user_tp_given_system_noise_rate_rolling_7,0.0016054866
user_tp_given_ds_no_alarm_rate_rolling_3,0.0015674245
classification_time_mean_rolling_21,0.0014513378
classification_time_mean_rolling_40,0.00142347
classification_time_mean_rolling_7,0.0013792079
classification_time_mean_rolling_14,0.0013480046
classification_time_mean_rolling_1,0.0013083582
user_tp_given_ds_alarm_rate_rolling_1,0.001286495
user_tp_given_ds_no_alarm_rate_rolling_21,0.0011838417
classification_time_mean_rolling_3,0.0011594248
is_first_trial,0.0
is_first_block,0.0
