feature,importance
system_tp_rate_rolling_40,0.07138686
system_fp_rate_rolling_40,0.07061552
system_fn_rate_rolling_7,0.046558164
stimulus_mean_rolling_1,0.03726226
system_fp_rate_rolling_7,0.032816436
system_fn_rate_rolling_14,0.032114614
stimulus_mean_rolling_3,0.03097882
stimulus_mean_rolling_7,0.029226536
system_fp_rate_rolling_3,0.028673206
stimulus_mean_rolling_14,0.028113063
system_fp_rate_rolling_21,0.027925763
trial,0.026214883
fn_rate_rolling_1,0.025797883
fn_rate_rolling_7,0.02438375
system_fn_rate_rolling_1,0.024317216
stimulus_mean_rolling_21,0.023137873
system_fp_rate_rolling_14,0.022509301
system_fn_rate_rolling_21,0.02191189
system_fn_rate_rolling_3,0.021883734
system_tp_rate_rolling_21,0.021103518
block,0.019729698
tp_rate_rolling_7,0.018852156
system_fn_rate_rolling_40,0.018173307
system_tp_rate_rolling_1,0.017258959
system_tp_rate_rolling_3,0.016940562
stimulus_mean_rolling_40,0.01631192
user_tp_given_system_signal_rate_rolling_21,0.015827756
user_tp_given_system_signal_rate_rolling_7,0.015547085
fp_rate_rolling_7,0.013686162
fp_rate_rolling_14,0.013209081
user_tp_given_system_signal_rate_rolling_14,0.012338352
system_tp_rate_rolling_7,0.011622768
system_fp_rate_rolling_1,0.010935059
tp_rate_rolling_14,0.010424282
system_tp_rate_rolling_14,0.010166169
tp_rate_rolling_1,0.009632438
fp_rate_rolling_40,0.008946446
fn_rate_rolling_3,0.008787655
user_tp_given_system_signal_rate_rolling_3,0.007616777
user_tp_given_system_signal_rate_rolling_40,0.00633347
fn_rate_rolling_40,0.005231361
signal_rate_rolling_1,0.0050682556
user_tp_given_system_signal_rate_rolling_1,0.0050590727
tp_rate_rolling_21,0.0048283925
fn_rate_rolling_21,0.0044515757
fp_rate_rolling_1,0.0043639396
fp_rate_rolling_21,0.004338776
signal_rate_rolling_7,0.0041414294
signal_rate_rolling_21,0.0040891813
signal_rate_rolling_3,0.0037082946
fn_rate_rolling_14,0.003697448
fp_rate_rolling_3,0.0036675152
tp_rate_rolling_40,0.0031475213
signal_rate_rolling_40,0.0030873052
user_tp_given_system_noise_rate_rolling_7,0.0030646727
user_tp_given_system_noise_rate_rolling_40,0.0030409251
user_tp_given_system_noise_rate_rolling_21,0.0028538445
purchase_ds_block_num,0.00263154
tp_rate_rolling_3,0.0025794336
signal_rate_rolling_14,0.002194915
user_tp_given_system_noise_rate_rolling_14,0.0020919363
classification_time_mean_rolling_21,0.0019794467
classification_time_mean_rolling_14,0.0019404009
classification_time_mean_rolling_40,0.0018344653
classification_time_mean_rolling_7,0.0017993121
classification_time_mean_rolling_3,0.0016678836
classification_time_mean_rolling_1,0.0016208901
system_d,0.0013225386
user_tp_given_system_noise_rate_rolling_3,0.0012262886
user_tp_given_system_noise_rate_rolling_1,0.0
dependency_num,0.0
is_first_trial,0.0
is_first_block,0.0
