feature,importance
stimulus,0.4734868
ds_recommends_signal,0.16526443
system_d,0.050448015
tp_rate_rolling_50,0.020115545
fn_rate_rolling_50,0.017958842
dependency_num,0.010291865
user_correct_rate_rolling_50,0.008960886
agreement_rate_rolling_14,0.008954839
user_correct_rate_rolling_1,0.008373563
ds_correct_rate_rolling_21,0.0078016734
agreement_rate_rolling_50,0.0067714807
user_correct_rate_rolling_3,0.006074004
classification_time_mean_rolling_50,0.0057078535
fp_rate_rolling_14,0.005673675
fn_rate_rolling_14,0.005656712
agreement_rate_rolling_21,0.0056237415
ds_correct_rate_rolling_14,0.005350035
agreement_rate_rolling_7,0.0053208056
fn_rate_rolling_7,0.005055562
ds_correct_rate_rolling_50,0.0047786757
user_correct_rate_rolling_14,0.0047412245
fp_rate_rolling_3,0.004650792
agreement_rate_rolling_3,0.004469344
user_correct_rate_rolling_7,0.0044667157
fp_rate_rolling_50,0.004463755
user_correct_rate_rolling_21,0.0044506164
ds_correct_rate_rolling_1,0.0043501128
tp_rate_rolling_3,0.0041840333
classification_time_mean_rolling_21,0.004166593
fn_rate_rolling_1,0.0041505983
classification_time_mean_rolling_1,0.0039860182
tn_rate_rolling_1,0.0039833854
tp_rate_rolling_14,0.00397499
fn_rate_rolling_21,0.0039492836
purchase_ds_block_num,0.003938169
avg_score_prev_blocks,0.0039267256
trial,0.0039058088
classification_time_mean_rolling_14,0.0038763986
fn_rate_rolling_3,0.0038495425
fp_rate_rolling_21,0.0038441017
tp_rate_rolling_21,0.0038403142
stimulus_mean_rolling_7,0.0038024064
ds_correct_rate_rolling_3,0.0037951523
tn_rate_rolling_21,0.003709515
classification_time_mean_rolling_3,0.0036589408
tn_rate_rolling_50,0.0036155763
classification_time_mean_rolling_7,0.003590634
signal_rate_rolling_14,0.0035776147
fp_rate_rolling_7,0.0035736344
tn_rate_rolling_7,0.003409291
signal_rate_rolling_21,0.003290743
signal_rate_rolling_50,0.0032857892
stimulus_mean_rolling_3,0.0032710806
stimulus_mean_rolling_1,0.0032315396
signal_rate_rolling_7,0.0031882108
signal_rate_rolling_1,0.0031457494
stimulus_mean_rolling_50,0.0031272075
stimulus_mean_rolling_21,0.003074378
agreement_rate_rolling_1,0.0030502004
block,0.0029858858
ds_correct_rate_rolling_7,0.0027476721
stimulus_mean_rolling_14,0.0027214796
tn_rate_rolling_3,0.002673855
tn_rate_rolling_14,0.0026115705
tp_rate_rolling_1,0.0024388891
fp_rate_rolling_1,0.0024052507
tp_rate_rolling_7,0.0021722375
signal_rate_rolling_3,0.0016852156
is_signal_event,0.0013227767
is_first_block,0.0
ds_confidence,0.0
is_first_trial,0.0
