feature,importance
stimulus,0.4586841
ds_recommends_signal,0.17501374
system_d,0.048189424
tp_rate_rolling_50,0.020716993
fn_rate_rolling_50,0.018541234
dependency_num,0.01063409
user_correct_rate_rolling_50,0.0091642365
agreement_rate_rolling_14,0.009160585
user_correct_rate_rolling_1,0.008498345
ds_correct_rate_rolling_21,0.008131433
agreement_rate_rolling_50,0.0072569232
fp_rate_rolling_14,0.0062720003
user_correct_rate_rolling_3,0.0060692695
classification_time_mean_rolling_50,0.0058982624
tp_rate_rolling_1,0.005837382
fn_rate_rolling_14,0.0057695135
agreement_rate_rolling_7,0.0056524435
ds_correct_rate_rolling_14,0.0055314195
fp_rate_rolling_3,0.005440106
agreement_rate_rolling_21,0.005135512
user_correct_rate_rolling_14,0.0051268744
fp_rate_rolling_50,0.0046673613
purchase_ds_block_num,0.0046443692
fn_rate_rolling_7,0.004632074
user_correct_rate_rolling_21,0.0046078996
fn_rate_rolling_1,0.0045413086
agreement_rate_rolling_3,0.0044954238
user_correct_rate_rolling_7,0.0044725994
tp_rate_rolling_14,0.0042370753
ds_correct_rate_rolling_3,0.0041388883
trial,0.004124498
classification_time_mean_rolling_21,0.004110728
fn_rate_rolling_3,0.0040787132
tn_rate_rolling_1,0.0039957985
classification_time_mean_rolling_1,0.003956104
ds_correct_rate_rolling_50,0.003950307
tn_rate_rolling_50,0.0038866014
classification_time_mean_rolling_14,0.0037979994
fp_rate_rolling_21,0.0037528642
classification_time_mean_rolling_7,0.003742484
ds_correct_rate_rolling_1,0.0037298393
fp_rate_rolling_7,0.0036934423
avg_score_prev_blocks,0.003687398
tp_rate_rolling_3,0.0035899782
tp_rate_rolling_21,0.0035833523
tn_rate_rolling_21,0.003553195
fn_rate_rolling_21,0.0035334507
classification_time_mean_rolling_3,0.0035138512
signal_rate_rolling_1,0.0035089531
stimulus_mean_rolling_7,0.00349576
signal_rate_rolling_21,0.0033967653
signal_rate_rolling_14,0.0033717696
stimulus_mean_rolling_21,0.0033377695
tn_rate_rolling_3,0.0032990854
signal_rate_rolling_50,0.0032971043
stimulus_mean_rolling_1,0.0032739802
tn_rate_rolling_14,0.0031774526
stimulus_mean_rolling_3,0.0031408968
agreement_rate_rolling_1,0.0030692848
ds_correct_rate_rolling_7,0.003067982
signal_rate_rolling_7,0.0030008494
block,0.0029357735
fp_rate_rolling_1,0.0029107172
tn_rate_rolling_7,0.0028951773
stimulus_mean_rolling_50,0.002863436
stimulus_mean_rolling_14,0.0024625463
tp_rate_rolling_7,0.0021906104
signal_rate_rolling_3,0.0018626463
is_first_trial,0.0
is_first_block,0.0
ds_confidence,0.0
