feature,importance
stimulus,0.4763688
ds_recommends_signal,0.19119725
system_d,0.04303396
fn_rate_rolling_21,0.015678752
dependency_num,0.010711312
tp_rate_rolling_21,0.010651854
fn_rate_rolling_14,0.010135051
agreement_rate_rolling_14,0.009917088
tp_rate_rolling_14,0.009181277
classification_time_mean_rolling_21,0.0079505285
agreement_rate_rolling_21,0.0073700203
user_correct_rate_rolling_21,0.0069227945
ds_correct_rate_rolling_21,0.0066641564
tn_rate_rolling_1,0.0066065406
classification_time_mean_rolling_14,0.006171962
fp_rate_rolling_21,0.0058976673
agreement_rate_rolling_7,0.005799092
agreement_rate_rolling_3,0.0056218086
user_correct_rate_rolling_14,0.005605516
fp_rate_rolling_1,0.005404685
tn_rate_rolling_7,0.0053713
fp_rate_rolling_14,0.0053614695
tp_rate_rolling_7,0.0052991114
user_correct_rate_rolling_3,0.0051992307
ds_correct_rate_rolling_14,0.0051421695
user_correct_rate_rolling_7,0.005093699
fn_rate_rolling_7,0.005019637
tp_rate_rolling_1,0.0047647962
fn_rate_rolling_1,0.0045394627
block,0.004529726
trial,0.004437487
signal_rate_rolling_14,0.0043838522
tn_rate_rolling_21,0.0042982646
tn_rate_rolling_14,0.00428659
classification_time_mean_rolling_1,0.0042276424
avg_score_prev_blocks,0.0042160368
ds_correct_rate_rolling_3,0.0041377554
stimulus_mean_rolling_7,0.0040498176
purchase_ds_block_num,0.0039944425
tp_rate_rolling_3,0.0039938875
classification_time_mean_rolling_7,0.0039136964
ds_correct_rate_rolling_7,0.0038996434
signal_rate_rolling_21,0.0038683428
signal_rate_rolling_7,0.0038605013
stimulus_mean_rolling_21,0.0038272312
stimulus_mean_rolling_1,0.003664677
fp_rate_rolling_3,0.0036211417
fn_rate_rolling_3,0.0036126878
classification_time_mean_rolling_3,0.0035860839
stimulus_mean_rolling_14,0.0035661971
agreement_rate_rolling_1,0.003553028
tn_rate_rolling_3,0.0032133865
user_correct_rate_rolling_1,0.0031708002
stimulus_mean_rolling_3,0.003132388
fp_rate_rolling_7,0.0029907909
signal_rate_rolling_1,0.0026268298
signal_rate_rolling_3,0.0026114539
ds_correct_rate_rolling_1,0.0020446521
is_first_block,0.0
is_first_trial,0.0
ds_confidence,0.0
