feature,importance
stimulus,0.4733327
ds_recommends_signal,0.20785154
system_d,0.0428468
fn_rate_rolling_14,0.01581533
dependency_num,0.011964472
fn_rate_rolling_1,0.010155938
tp_rate_rolling_14,0.010002596
tp_rate_rolling_7,0.009239271
agreement_rate_rolling_14,0.009117909
user_correct_rate_rolling_14,0.008301173
classification_time_mean_rolling_14,0.008047711
user_correct_rate_rolling_7,0.007995304
ds_correct_rate_rolling_3,0.007391158
agreement_rate_rolling_3,0.007179812
user_correct_rate_rolling_1,0.0071356837
fn_rate_rolling_3,0.006618279
ds_correct_rate_rolling_14,0.0062051183
agreement_rate_rolling_7,0.0061787236
fp_rate_rolling_14,0.0061325314
user_correct_rate_rolling_3,0.0059236316
fp_rate_rolling_7,0.005790932
signal_rate_rolling_14,0.005616138
fn_rate_rolling_7,0.0055049486
tn_rate_rolling_14,0.00536807
tn_rate_rolling_1,0.005344028
tn_rate_rolling_7,0.005334223
classification_time_mean_rolling_7,0.005269367
tp_rate_rolling_3,0.0051186886
stimulus_mean_rolling_7,0.005039192
classification_time_mean_rolling_1,0.0049976767
block,0.0048941947
tn_rate_rolling_3,0.00473879
classification_time_mean_rolling_3,0.0047092116
ds_correct_rate_rolling_7,0.004695752
agreement_rate_rolling_1,0.004691429
trial,0.0046906993
signal_rate_rolling_1,0.004687725
fp_rate_rolling_3,0.0046544797
fp_rate_rolling_1,0.0046310714
avg_score_prev_blocks,0.004567495
stimulus_mean_rolling_14,0.0045295865
signal_rate_rolling_7,0.0045266747
stimulus_mean_rolling_3,0.0044463137
stimulus_mean_rolling_1,0.0042634164
ds_correct_rate_rolling_1,0.004043021
purchase_ds_block_num,0.0039122496
signal_rate_rolling_3,0.003310669
tp_rate_rolling_1,0.0031882848
ds_confidence,0.0
is_first_block,0.0
is_first_trial,0.0
