feature,importance
stimulus,0.50445914
ds_recommends_signal,0.22542088
system_d,0.04464424
dependency_num,0.014218726
tp_rate_rolling_7,0.012269527
agreement_rate_rolling_7,0.01071313
fn_rate_rolling_1,0.010009787
user_correct_rate_rolling_7,0.00921455
fn_rate_rolling_7,0.0088888
fn_rate_rolling_3,0.008807136
user_correct_rate_rolling_1,0.008335798
classification_time_mean_rolling_7,0.008136347
agreement_rate_rolling_3,0.007506681
ds_correct_rate_rolling_7,0.006686774
tn_rate_rolling_1,0.0066549345
user_correct_rate_rolling_3,0.006201271
agreement_rate_rolling_1,0.006034081
tn_rate_rolling_7,0.005804215
fp_rate_rolling_3,0.005774592
block,0.005690047
tn_rate_rolling_3,0.0055901413
stimulus_mean_rolling_1,0.0055838125
avg_score_prev_blocks,0.005548367
stimulus_mean_rolling_3,0.005417727
fp_rate_rolling_1,0.005392643
classification_time_mean_rolling_1,0.005146325
signal_rate_rolling_7,0.0050943657
ds_correct_rate_rolling_3,0.0049649086
tp_rate_rolling_3,0.00491833
signal_rate_rolling_3,0.004905538
classification_time_mean_rolling_3,0.004760463
stimulus_mean_rolling_7,0.0046609603
signal_rate_rolling_1,0.0043161
purchase_ds_block_num,0.004183079
trial,0.003867123
fp_rate_rolling_7,0.0036442445
ds_correct_rate_rolling_1,0.0033527496
tp_rate_rolling_1,0.0031825309
ds_confidence,0.0
is_first_block,0.0
is_first_trial,0.0
