feature,importance
stimulus,0.5103713
ds_recommends_signal,0.24955669
system_d,0.04517777
dependency_num,0.013985539
fn_rate_rolling_3,0.012910038
agreement_rate_rolling_3,0.010437383
user_correct_rate_rolling_3,0.010330291
user_correct_rate_rolling_1,0.010258225
fn_rate_rolling_1,0.010140989
ds_correct_rate_rolling_3,0.00970464
tp_rate_rolling_3,0.008376629
classification_time_mean_rolling_3,0.008274624
stimulus_mean_rolling_1,0.0073941406
avg_score_prev_blocks,0.0071919234
tn_rate_rolling_3,0.007121353
classification_time_mean_rolling_1,0.0069637853
purchase_ds_block_num,0.0068290224
signal_rate_rolling_3,0.006546766
signal_rate_rolling_1,0.006522093
agreement_rate_rolling_1,0.0065146363
tn_rate_rolling_1,0.0063285003
fp_rate_rolling_1,0.006219037
fp_rate_rolling_3,0.0061639347
stimulus_mean_rolling_3,0.006031881
block,0.005980894
trial,0.0054384177
tp_rate_rolling_1,0.0054080756
ds_correct_rate_rolling_1,0.003821532
is_first_block,0.0
is_first_trial,0.0
ds_confidence,0.0
