feature,importance
stimulus,0.63245404
ds_recommends_signal,0.16994917
system_d,0.055815402
user_correct_rate_rolling_1,0.021546125
classification_time_mean_rolling_1,0.014563946
agreement_rate_rolling_1,0.0140036
fn_rate_rolling_1,0.013032377
dependency_num,0.012648682
stimulus_mean_rolling_1,0.0109453555
avg_score_prev_blocks,0.008734268
ds_correct_rate_rolling_1,0.008332353
trial,0.0066056936
fp_rate_rolling_1,0.0065866197
tn_rate_rolling_1,0.006576743
block,0.0060372655
purchase_ds_block_num,0.004807591
signal_rate_rolling_1,0.0045276918
tp_rate_rolling_1,0.002833285
is_first_block,0.0
is_first_trial,0.0
ds_confidence,0.0
