feature,importance
stimulus,0.3736132
ds_recommends_signal,0.12616347
system_d,0.037888177
user_tp_given_system_noise_rate_rolling_21,0.02824938
user_tp_given_system_signal_rate_rolling_40,0.026269216
user_tp_given_system_noise_rate_rolling_40,0.01663205
fn_rate_rolling_1,0.010667886
user_tp_given_ds_alarm_system_signal_rate_rolling_40,0.010198381
user_tp_given_ds_alarm_system_noise_rate_rolling_21,0.008838893
user_tp_given_ds_alarm_rate_rolling_14,0.007877257
user_tp_given_ds_alarm_system_noise_rate_rolling_14,0.007620474
user_tp_given_ds_no_alarm_rate_rolling_7,0.007484962
ds_tp_rate_rolling_1,0.007094161
user_tp_given_ds_alarm_system_signal_rate_rolling_21,0.0064633177
user_ds_agreement_rate_rolling_14,0.00624442
ds_fn_rate_rolling_14,0.006232959
dependency_num,0.0061222278
fn_rate_rolling_40,0.0060959905
tp_rate_rolling_3,0.005822602
user_ds_agreement_rate_rolling_40,0.005230975
user_tp_given_ds_no_alarm_system_noise_rate_rolling_14,0.0051222704
user_tp_given_ds_alarm_system_noise_rate_rolling_40,0.0050961603
user_tp_given_ds_no_alarm_rate_rolling_3,0.004976674
user_tp_given_ds_no_alarm_system_noise_rate_rolling_3,0.004766984
system_fn_rate_rolling_3,0.004728647
user_ds_agreement_rate_rolling_7,0.0045490074
classification_time_mean_rolling_40,0.004537519
ds_fp_rate_rolling_21,0.004502065
ds_fn_rate_rolling_1,0.004391825
tp_rate_rolling_40,0.0043445677
fn_rate_rolling_14,0.0043313894
signal_rate_rolling_7,0.0043184687
fp_rate_rolling_7,0.004287858
tp_rate_rolling_1,0.004247091
tp_rate_rolling_21,0.004143213
fp_rate_rolling_3,0.004067059
system_tp_rate_rolling_3,0.0040224777
user_tp_given_system_signal_rate_rolling_14,0.00390716
fp_rate_rolling_21,0.0038348967
fn_rate_rolling_3,0.0038223397
system_fp_rate_rolling_1,0.0037423405
user_tp_given_ds_no_alarm_system_signal_rate_rolling_3,0.00372484
ds_fn_rate_rolling_40,0.0037043467
user_tp_given_ds_no_alarm_rate_rolling_14,0.003677485
fp_rate_rolling_40,0.0035902234
user_tp_given_ds_no_alarm_rate_rolling_40,0.0035611026
system_tp_rate_rolling_7,0.0035269917
trial,0.003525943
ds_fn_rate_rolling_7,0.0034709654
ds_fn_rate_rolling_21,0.0034119766
classification_time_mean_rolling_7,0.0033214432
user_tp_given_ds_alarm_system_signal_rate_rolling_7,0.0032662717
user_tp_given_ds_no_alarm_system_signal_rate_rolling_14,0.003228243
user_ds_agreement_rate_rolling_21,0.0032059888
user_tp_given_ds_no_alarm_rate_rolling_21,0.0031956255
user_tp_given_ds_no_alarm_system_noise_rate_rolling_40,0.0031644662
system_fp_rate_rolling_40,0.003151111
classification_time_mean_rolling_14,0.0031423122
classification_time_mean_rolling_21,0.0031313037
user_tp_given_ds_alarm_system_signal_rate_rolling_3,0.0031096006
ds_tp_rate_rolling_14,0.0031076397
stimulus_mean_rolling_7,0.00307393
fn_rate_rolling_21,0.0030035328
user_tp_given_ds_no_alarm_system_signal_rate_rolling_40,0.002890288
classification_time_mean_rolling_3,0.0028730175
user_tp_given_ds_alarm_rate_rolling_40,0.0028721592
classification_time_mean_rolling_1,0.0028536548
fp_rate_rolling_14,0.002835337
system_fn_rate_rolling_40,0.0027831558
stimulus_mean_rolling_3,0.002781098
stimulus_mean_rolling_40,0.00275509
ds_fp_rate_rolling_40,0.00275358
signal_rate_rolling_14,0.002725686
user_ds_agreement_rate_rolling_3,0.0027226738
purchase_ds_block_num,0.0026245038
ds_fn_rate_rolling_3,0.0025737297
user_tp_given_ds_alarm_system_signal_rate_rolling_14,0.0025681243
user_tp_given_ds_no_alarm_system_signal_rate_rolling_21,0.002520627
