feature,importance
stimulus,0.41230083
ds_recommends_signal,0.1314484
system_d,0.037678264
user_tp_given_system_noise_rate_rolling_21,0.024769606
user_tp_given_system_signal_rate_rolling_40,0.023239965
user_tp_given_system_noise_rate_rolling_40,0.012592696
fn_rate_rolling_1,0.010006918
ds_tp_rate_rolling_1,0.008831686
user_tp_given_ds_alarm_rate_rolling_14,0.007663061
user_tp_given_ds_no_alarm_rate_rolling_7,0.00713175
user_ds_agreement_rate_rolling_14,0.0065185563
fn_rate_rolling_40,0.0064526806
dependency_num,0.006367843
system_fn_rate_rolling_3,0.005504189
ds_fn_rate_rolling_14,0.0055013723
user_ds_agreement_rate_rolling_40,0.0053754053
ds_fn_rate_rolling_3,0.0053407205
fn_rate_rolling_14,0.0052874964
user_tp_given_ds_no_alarm_rate_rolling_3,0.00502711
system_fp_rate_rolling_1,0.004906341
tp_rate_rolling_40,0.0048953113
user_ds_agreement_rate_rolling_7,0.004821093
block,0.004782614
classification_time_mean_rolling_40,0.0047250516
tp_rate_rolling_3,0.0047070966
signal_rate_rolling_7,0.004632182
system_tp_rate_rolling_7,0.0045680483
fp_rate_rolling_7,0.0045392476
ds_fp_rate_rolling_21,0.004487034
user_tp_given_system_noise_rate_rolling_14,0.004467921
user_tp_given_ds_alarm_rate_rolling_3,0.0043121157
fp_rate_rolling_3,0.004271409
tp_rate_rolling_1,0.0042235255
user_tp_given_system_signal_rate_rolling_21,0.0041781524
fn_rate_rolling_3,0.004163095
system_fn_rate_rolling_40,0.004138249
user_tp_given_system_signal_rate_rolling_7,0.0040578353
stimulus_mean_rolling_7,0.003976189
user_tp_given_system_signal_rate_rolling_14,0.0039546285
user_tp_given_ds_alarm_rate_rolling_40,0.00392495
user_ds_agreement_rate_rolling_21,0.003909053
user_tp_given_system_signal_rate_rolling_1,0.0037820966
fp_rate_rolling_40,0.0037600512
system_fp_rate_rolling_40,0.0037327572
tp_rate_rolling_21,0.0036470399
user_tp_given_ds_no_alarm_rate_rolling_21,0.0036451248
user_tp_given_ds_alarm_rate_rolling_21,0.0035317137
fp_rate_rolling_21,0.003507614
ds_fn_rate_rolling_40,0.0034970806
classification_time_mean_rolling_21,0.0034591614
classification_time_mean_rolling_14,0.0034095321
ds_fn_rate_rolling_21,0.0033802881
classification_time_mean_rolling_7,0.0033091288
fn_rate_rolling_21,0.0032747898
ds_fn_rate_rolling_7,0.003268306
fp_rate_rolling_14,0.0032567163
classification_time_mean_rolling_3,0.0032268544
user_tp_given_system_signal_rate_rolling_3,0.0032121392
ds_tp_rate_rolling_14,0.0031999075
user_ds_agreement_rate_rolling_3,0.0031560431
fn_rate_rolling_7,0.003155346
trial,0.00311292
stimulus_mean_rolling_40,0.0030930785
ds_fn_rate_rolling_1,0.003071241
stimulus_mean_rolling_3,0.0030410406
user_tp_given_ds_no_alarm_rate_rolling_40,0.0030378087
ds_tp_rate_rolling_40,0.0030254498
signal_rate_rolling_14,0.0030138006
system_tp_rate_rolling_3,0.0029736653
classification_time_mean_rolling_1,0.0029722296
system_tp_rate_rolling_14,0.0029295594
signal_rate_rolling_1,0.002925579
user_ds_agreement_rate_rolling_1,0.0028916078
ds_fp_rate_rolling_7,0.0028606686
user_tp_given_ds_no_alarm_rate_rolling_14,0.0028387827
tp_rate_rolling_7,0.0028364041
system_fp_rate_rolling_7,0.0027722311
ds_fp_rate_rolling_14,0.0027225958
ds_fp_rate_rolling_40,0.00269424
signal_rate_rolling_40,0.0026896528
system_fn_rate_rolling_1,0.002648561
ds_fp_rate_rolling_1,0.0025527682
ds_fp_rate_rolling_3,0.0025440545
signal_rate_rolling_3,0.0025168224
system_tp_rate_rolling_40,0.0024083287
stimulus_mean_rolling_21,0.0023142528
purchase_ds_block_num,0.002286991
system_tp_rate_rolling_21,0.0022743093
signal_rate_rolling_21,0.002226081
ds_tp_rate_rolling_21,0.0022198546
fp_rate_rolling_1,0.002198546
system_tp_rate_rolling_1,0.002159989
stimulus_mean_rolling_14,0.0021334258
stimulus_mean_rolling_1,0.0021125278
system_fp_rate_rolling_3,0.0019557704
system_fp_rate_rolling_21,0.0018702524
user_tp_given_ds_alarm_rate_rolling_7,0.0017831124
user_tp_given_system_noise_rate_rolling_3,0.0017827329
ds_tp_rate_rolling_7,0.0017480247
system_fn_rate_rolling_21,0.001579169
system_fp_rate_rolling_14,0.0014583137
tp_rate_rolling_14,0.001421664
user_tp_given_ds_no_alarm_rate_rolling_1,0.0014157225
ds_tp_rate_rolling_3,0.0013930186
system_fn_rate_rolling_7,0.0012553955
system_fn_rate_rolling_14,0.0011975863
user_tp_given_system_noise_rate_rolling_7,0.00094854896
user_tp_given_system_noise_rate_rolling_1,0.0
user_tp_given_ds_alarm_rate_rolling_1,0.0
is_first_trial,0.0
is_first_block,0.0
