feature,importance
stimulus,0.2757765
system_fp_rate_rolling_1,0.035663117
user_tp_given_system_noise_rate_rolling_21,0.027754717
user_tp_given_system_noise_rate_rolling_7,0.026386123
system_fp_rate_rolling_14,0.02069952
user_tp_given_system_signal_rate_rolling_40,0.019462189
user_tp_given_system_signal_rate_rolling_3,0.0178622
dependency_num,0.017736139
system_fn_rate_rolling_1,0.016875988
tp_rate_rolling_1,0.016463265
user_tp_given_ds_no_alarm_system_signal_rate_rolling_3,0.014115839
stimulus_mean_rolling_14,0.014086582
system_tp_rate_rolling_1,0.013994831
tp_rate_rolling_7,0.013960266
system_fp_rate_rolling_21,0.013659736
stimulus_mean_rolling_1,0.013358357
system_tp_rate_rolling_3,0.01321508
system_d,0.011203593
system_fn_rate_rolling_21,0.010262778
user_tp_given_system_signal_rate_rolling_7,0.010097273
fn_rate_rolling_3,0.008980732
user_tp_given_ds_no_alarm_system_noise_rate_rolling_14,0.008956155
user_tp_given_ds_alarm_system_signal_rate_rolling_3,0.00838152
tp_rate_rolling_21,0.008332936
user_tp_given_ds_alarm_rate_rolling_1,0.007769011
trial,0.00752376
user_tp_given_ds_alarm_system_signal_rate_rolling_7,0.007170746
user_tp_given_ds_alarm_rate_rolling_7,0.007013789
user_tp_given_ds_no_alarm_rate_rolling_7,0.0068057696
stimulus_mean_rolling_3,0.006774496
user_ds_agreement_rate_rolling_40,0.0067097046
system_fp_rate_rolling_7,0.0066178055
system_fn_rate_rolling_7,0.006457405
user_tp_given_ds_alarm_system_signal_rate_rolling_40,0.006392186
stimulus_mean_rolling_7,0.006269445
signal_rate_rolling_14,0.0060255746
system_tp_rate_rolling_14,0.0059574167
tp_rate_rolling_14,0.0057033375
tp_rate_rolling_40,0.0056801066
fn_rate_rolling_1,0.005641209
user_tp_given_ds_no_alarm_system_signal_rate_rolling_21,0.0056212484
user_tp_given_ds_no_alarm_rate_rolling_14,0.005594695
system_fn_rate_rolling_3,0.0055175447
signal_rate_rolling_7,0.0054905973
user_tp_given_ds_alarm_system_signal_rate_rolling_14,0.0054408116
user_tp_given_system_noise_rate_rolling_40,0.005333437
user_tp_given_ds_no_alarm_rate_rolling_40,0.0053070774
fp_rate_rolling_14,0.00527051
user_tp_given_ds_alarm_system_noise_rate_rolling_7,0.0052486653
user_ds_agreement_rate_rolling_7,0.005141824
user_tp_given_ds_no_alarm_system_noise_rate_rolling_3,0.005088193
user_tp_given_ds_alarm_system_signal_rate_rolling_21,0.005084862
stimulus_mean_rolling_40,0.005067137
system_tp_rate_rolling_40,0.0050548892
block,0.004988861
fn_rate_rolling_14,0.0049633016
fn_rate_rolling_40,0.0049396176
system_tp_rate_rolling_7,0.0047956486
system_tp_rate_rolling_21,0.004706929
user_tp_given_ds_no_alarm_system_noise_rate_rolling_21,0.0046585244
user_tp_given_ds_alarm_system_noise_rate_rolling_3,0.0046019014
classification_time_mean_rolling_40,0.004511065
user_tp_given_ds_no_alarm_system_signal_rate_rolling_40,0.0044450187
user_tp_given_system_signal_rate_rolling_14,0.0044405134
user_ds_agreement_rate_rolling_21,0.0042825295
fn_rate_rolling_7,0.00424796
user_ds_agreement_rate_rolling_14,0.00419235
user_tp_given_ds_no_alarm_system_noise_rate_rolling_7,0.0041895835
stimulus_mean_rolling_21,0.0040538087
purchase_ds_block_num,0.0039657336
fp_rate_rolling_7,0.0038822303
user_tp_given_ds_alarm_rate_rolling_21,0.003855599
user_tp_given_system_signal_rate_rolling_21,0.0038175636
user_tp_given_ds_no_alarm_system_signal_rate_rolling_7,0.0038088395
fn_rate_rolling_21,0.0037614792
fp_rate_rolling_40,0.0037378646
user_tp_given_ds_alarm_system_noise_rate_rolling_40,0.0036723018
fp_rate_rolling_21,0.003662644
user_ds_agreement_rate_rolling_3,0.0035168158
user_tp_given_ds_alarm_rate_rolling_14,0.0034974713
user_tp_given_ds_alarm_rate_rolling_40,0.003486716
signal_rate_rolling_21,0.0034572722
user_tp_given_ds_alarm_rate_rolling_3,0.0032221207
fp_rate_rolling_3,0.0031854066
system_fp_rate_rolling_40,0.0031842052
classification_time_mean_rolling_14,0.0031364227
system_fp_rate_rolling_3,0.0030842186
signal_rate_rolling_3,0.0029763714
user_ds_agreement_rate_rolling_1,0.0029377516
user_tp_given_ds_no_alarm_system_signal_rate_rolling_14,0.0029364736
user_tp_given_ds_no_alarm_rate_rolling_3,0.0029251492
system_fn_rate_rolling_40,0.0028989122
user_tp_given_ds_no_alarm_rate_rolling_21,0.0027613586
user_tp_given_ds_alarm_system_noise_rate_rolling_14,0.0027368502
classification_time_mean_rolling_7,0.0026899339
signal_rate_rolling_40,0.0025328447
classification_time_mean_rolling_21,0.0025286337
signal_rate_rolling_1,0.0024948677
user_tp_given_system_noise_rate_rolling_3,0.0024557041
classification_time_mean_rolling_1,0.0022999512
classification_time_mean_rolling_3,0.0021640928
system_fn_rate_rolling_14,0.0021140683
user_tp_given_system_noise_rate_rolling_14,0.002078502
user_tp_given_ds_alarm_system_signal_rate_rolling_1,0.0020444992
user_tp_given_ds_alarm_system_noise_rate_rolling_21,0.0019304899
tp_rate_rolling_3,0.0019221107
fp_rate_rolling_1,0.0017904636
user_tp_given_ds_no_alarm_system_noise_rate_rolling_40,0.0017657427
user_tp_given_ds_alarm_system_noise_rate_rolling_1,0.0010039842
is_first_trial,0.0
user_tp_given_ds_incorrect_rate_rolling_1,0.0
user_tp_given_ds_correct_rate_rolling_1,0.0
user_tp_given_system_incorrect_rate_rolling_40,0.0
user_tp_given_ds_no_alarm_rate_rolling_1,0.0
user_tp_given_system_correct_rate_rolling_40,0.0
user_tp_given_ds_incorrect_rate_rolling_40,0.0
is_first_block,0.0
