feature,importance
stimulus,0.26199853
system_tp_rate_rolling_1,0.031836465
user_tp_given_system_noise_rate_rolling_7,0.028616622
system_fp_rate_rolling_1,0.027930854
user_tp_given_system_noise_rate_rolling_21,0.022169165
user_tp_given_ds_no_alarm_system_signal_rate_rolling_3,0.021997536
user_tp_given_system_signal_rate_rolling_40,0.018683994
system_tp_rate_rolling_3,0.017420478
user_tp_given_system_signal_rate_rolling_3,0.016832119
dependency_num,0.015066707
system_fn_rate_rolling_21,0.013920004
ds_fn_rate_rolling_21,0.013411638
ds_tp_rate_rolling_7,0.0127119655
stimulus_mean_rolling_14,0.012630918
tp_rate_rolling_7,0.012218896
system_fp_rate_rolling_21,0.010816726
system_fp_rate_rolling_14,0.010398242
stimulus_mean_rolling_1,0.010306302
system_d,0.009936007
ds_tp_rate_rolling_40,0.009772731
ds_fn_rate_rolling_7,0.009546858
fn_rate_rolling_3,0.008788996
user_tp_given_ds_no_alarm_system_signal_rate_rolling_14,0.008416263
user_tp_given_ds_no_alarm_rate_rolling_7,0.007794667
user_tp_given_system_signal_rate_rolling_7,0.007670739
ds_fp_rate_rolling_40,0.0075668455
signal_rate_rolling_7,0.0074167876
user_tp_given_system_noise_rate_rolling_40,0.0072957035
tp_rate_rolling_21,0.0072141145
tp_rate_rolling_1,0.0071981163
user_tp_given_system_noise_rate_rolling_3,0.0070457435
ds_fn_rate_rolling_40,0.0070075556
user_tp_given_ds_alarm_system_signal_rate_rolling_40,0.006987358
trial,0.0066205654
ds_tp_rate_rolling_14,0.0065706535
system_tp_rate_rolling_7,0.0064131883
fp_rate_rolling_14,0.006191544
user_tp_given_system_signal_rate_rolling_14,0.006078365
stimulus_mean_rolling_3,0.006002407
ds_tp_rate_rolling_3,0.0058361148
user_tp_given_ds_alarm_system_signal_rate_rolling_7,0.0056790463
user_ds_agreement_rate_rolling_7,0.0055868654
ds_fp_rate_rolling_14,0.0055517373
fn_rate_rolling_1,0.0054957
system_fn_rate_rolling_3,0.0052875774
stimulus_mean_rolling_7,0.0051764064
ds_tp_rate_rolling_21,0.0049477667
user_tp_given_ds_alarm_rate_rolling_7,0.0047593936
user_ds_agreement_rate_rolling_14,0.0047507733
purchase_ds_block_num,0.0047479016
system_fp_rate_rolling_40,0.0046690255
user_ds_agreement_rate_rolling_40,0.0046500177
user_tp_given_ds_alarm_system_noise_rate_rolling_7,0.00460613
ds_fp_rate_rolling_7,0.0045663165
user_tp_given_ds_no_alarm_system_noise_rate_rolling_3,0.00441592
ds_fp_rate_rolling_21,0.0043518273
user_ds_agreement_rate_rolling_21,0.0041204975
user_tp_given_ds_alarm_system_signal_rate_rolling_1,0.0040981164
stimulus_mean_rolling_21,0.0040864134
user_tp_given_ds_alarm_system_noise_rate_rolling_40,0.004080658
ds_tp_rate_rolling_1,0.004031452
stimulus_mean_rolling_40,0.003999561
user_tp_given_ds_alarm_rate_rolling_21,0.0037853075
user_tp_given_system_signal_rate_rolling_21,0.003768021
fn_rate_rolling_21,0.003710575
user_tp_given_ds_no_alarm_system_noise_rate_rolling_14,0.0036502553
user_tp_given_ds_no_alarm_system_noise_rate_rolling_7,0.0036360384
fn_rate_rolling_40,0.0036242134
user_tp_given_ds_alarm_system_signal_rate_rolling_21,0.0035730137
fp_rate_rolling_40,0.003564283
user_tp_given_system_signal_rate_rolling_1,0.0034477182
