feature,importance
stimulus,0.5506589
ds_recommends_signal,0.14231817
system_d,0.055175807
user_ds_agreement_rate_rolling_40,0.022070067
classification_time_mean_rolling_21,0.018857248
classification_time_mean_rolling_40,0.015470183
user_ds_agreement_rate_rolling_3,0.0150465965
classification_time_mean_rolling_14,0.01286982
user_ds_agreement_rate_rolling_21,0.011752156
user_ds_agreement_rate_rolling_7,0.011337741
signal_rate_rolling_21,0.011301488
signal_rate_rolling_40,0.010403022
dependency_num,0.009932932
user_ds_agreement_rate_rolling_14,0.009429781
classification_time_mean_rolling_7,0.009331937
signal_rate_rolling_3,0.008663487
classification_time_mean_rolling_3,0.007910182
stimulus_mean_rolling_7,0.0074691894
signal_rate_rolling_7,0.007167436
classification_time_mean_rolling_1,0.007101187
signal_rate_rolling_1,0.006681029
stimulus_mean_rolling_21,0.006468146
stimulus_mean_rolling_40,0.005933247
signal_rate_rolling_14,0.005688614
stimulus_mean_rolling_1,0.0053336048
user_ds_agreement_rate_rolling_1,0.005277934
purchase_ds_block_num,0.004532281
trial,0.0043027806
stimulus_mean_rolling_14,0.0038713778
block,0.003830053
stimulus_mean_rolling_3,0.003813554
is_first_block,0.0
is_first_trial,0.0
