feature,importance
ds_recommends_signal,0.28247732
system_fn_rate_rolling_21,0.033137765
user_tp_given_ds_no_alarm_system_signal_rate_rolling_7,0.02378924
user_tp_given_system_noise_rate_rolling_1,0.020216838
user_ds_agreement_rate_rolling_40,0.01882846
stimulus_mean_rolling_40,0.017161079
system_fn_rate_rolling_3,0.01576658
block,0.015674626
ds_fn_rate_rolling_1,0.0152628
user_tp_given_ds_no_alarm_rate_rolling_3,0.015149838
system_fn_rate_rolling_7,0.014870711
system_tp_rate_rolling_40,0.014568657
tp_rate_rolling_7,0.013744632
system_tp_rate_rolling_3,0.013228232
stimulus_mean_rolling_1,0.013162894
ds_fp_rate_rolling_3,0.012951827
system_fp_rate_rolling_14,0.01231151
system_fp_rate_rolling_40,0.012302488
ds_tp_rate_rolling_1,0.012144798
system_tp_rate_rolling_7,0.012003075
system_tp_rate_rolling_14,0.011975382
ds_tp_rate_rolling_7,0.0118831135
system_fn_rate_rolling_14,0.011359338
system_tp_rate_rolling_21,0.0110261105
system_fn_rate_rolling_40,0.010614147
fn_rate_rolling_3,0.010288979
trial,0.009645188
stimulus_mean_rolling_7,0.009313282
user_tp_given_system_noise_rate_rolling_3,0.008748884
user_tp_given_ds_alarm_system_noise_rate_rolling_14,0.0085520595
stimulus_mean_rolling_21,0.007999743
dependency_num,0.007883893
ds_fp_rate_rolling_21,0.007357793
user_tp_given_ds_alarm_rate_rolling_40,0.007216657
user_tp_given_ds_alarm_system_noise_rate_rolling_7,0.007006007
fn_rate_rolling_21,0.006842567
system_fp_rate_rolling_7,0.006654828
stimulus_mean_rolling_3,0.006582449
user_tp_given_system_signal_rate_rolling_7,0.0064818948
stimulus_mean_rolling_14,0.006449287
user_tp_given_system_signal_rate_rolling_21,0.006077732
ds_fn_rate_rolling_3,0.005982576
signal_rate_rolling_7,0.005942383
system_fp_rate_rolling_21,0.0058114175
system_tp_rate_rolling_1,0.0056652306
system_d,0.005618876
ds_fp_rate_rolling_40,0.0056060134
fp_rate_rolling_3,0.0053635524
system_fp_rate_rolling_1,0.005286411
system_fp_rate_rolling_3,0.004871143
ds_tp_rate_rolling_14,0.0046375194
fn_rate_rolling_1,0.004611397
user_tp_given_ds_alarm_system_signal_rate_rolling_40,0.0046076123
user_tp_given_ds_no_alarm_system_noise_rate_rolling_14,0.0044579185
ds_tp_rate_rolling_3,0.004406809
fn_rate_rolling_14,0.0043362165
ds_fn_rate_rolling_14,0.0042934236
user_tp_given_system_signal_rate_rolling_40,0.0038470149
user_ds_agreement_rate_rolling_21,0.0037939777
ds_fp_rate_rolling_14,0.0037589497
fn_rate_rolling_40,0.0037035458
user_tp_given_system_signal_rate_rolling_14,0.0036992598
user_ds_agreement_rate_rolling_3,0.0036822567
user_tp_given_ds_alarm_rate_rolling_14,0.003561823
ds_fn_rate_rolling_40,0.0034900387
user_tp_given_system_noise_rate_rolling_7,0.0034573213
signal_rate_rolling_14,0.0034446113
user_tp_given_ds_alarm_system_signal_rate_rolling_21,0.0033852437
ds_fn_rate_rolling_21,0.0033566193
signal_rate_rolling_40,0.0032068063
ds_tp_rate_rolling_21,0.0031535751
fn_rate_rolling_7,0.0031373857
ds_fn_rate_rolling_7,0.0030054091
tp_rate_rolling_21,0.0028800839
signal_rate_rolling_21,0.0028506883
user_tp_given_system_noise_rate_rolling_14,0.0028416966
tp_rate_rolling_40,0.0028028274
fp_rate_rolling_21,0.0027992008
user_tp_given_ds_alarm_system_signal_rate_rolling_7,0.002685615
user_tp_given_ds_no_alarm_system_signal_rate_rolling_21,0.0025834918
user_tp_given_ds_no_alarm_system_signal_rate_rolling_14,0.0025749854
purchase_ds_block_num,0.0024216827
tp_rate_rolling_1,0.00241916
fp_rate_rolling_40,0.0024073662
user_tp_given_ds_no_alarm_system_noise_rate_rolling_7,0.0023493469
tp_rate_rolling_3,0.0022408506
user_tp_given_ds_alarm_system_signal_rate_rolling_1,0.0022261085
fp_rate_rolling_14,0.0021632088
ds_fp_rate_rolling_7,0.0021192788
user_tp_given_ds_alarm_rate_rolling_1,0.0020642704
user_tp_given_ds_alarm_system_signal_rate_rolling_14,0.002046367
ds_tp_rate_rolling_40,0.002038303
user_tp_given_ds_no_alarm_system_signal_rate_rolling_40,0.002026984
signal_rate_rolling_1,0.0020114328
