feature,importance
system_fn_rate_rolling_21,0.08575258
system_fp_rate_rolling_3,0.040408347
system_fp_rate_rolling_14,0.039697785
system_fn_rate_rolling_3,0.039085984
system_fn_rate_rolling_1,0.03768433
block,0.03447898
system_tp_rate_rolling_21,0.029542504
stimulus_mean_rolling_40,0.029208591
system_tp_rate_rolling_7,0.026092991
user_tp_given_system_signal_rate_rolling_7,0.02483359
system_fn_rate_rolling_14,0.02265834
system_fp_rate_rolling_40,0.021277035
system_tp_rate_rolling_14,0.019925453
trial,0.019385897
system_fn_rate_rolling_40,0.018935118
system_fp_rate_rolling_7,0.018384231
stimulus_mean_rolling_1,0.01815695
stimulus_mean_rolling_21,0.018141907
system_tp_rate_rolling_3,0.01652594
stimulus_mean_rolling_7,0.014280527
user_tp_given_ds_alarm_rate_rolling_7,0.014207791
stimulus_mean_rolling_14,0.013847223
user_tp_given_system_signal_rate_rolling_21,0.013431022
system_fp_rate_rolling_21,0.012190236
signal_rate_rolling_1,0.012070865
stimulus_mean_rolling_3,0.011762132
system_fn_rate_rolling_7,0.011157336
system_tp_rate_rolling_40,0.011108606
ds_fn_rate_rolling_1,0.010737063
tp_rate_rolling_3,0.010563865
tp_rate_rolling_7,0.010286982
ds_fn_rate_rolling_7,0.01012104
signal_rate_rolling_3,0.009869167
user_tp_given_system_signal_rate_rolling_14,0.008539679
user_tp_given_ds_alarm_system_signal_rate_rolling_7,0.006550158
user_tp_given_system_signal_rate_rolling_3,0.0063408944
user_tp_given_ds_no_alarm_system_signal_rate_rolling_3,0.0058932877
user_tp_given_system_signal_rate_rolling_40,0.0055446886
signal_rate_rolling_7,0.0051900926
user_tp_given_ds_alarm_system_signal_rate_rolling_14,0.0051639955
ds_fp_rate_rolling_21,0.0051061786
ds_tp_rate_rolling_40,0.005078659
fp_rate_rolling_21,0.0045533786
user_tp_given_ds_alarm_system_noise_rate_rolling_14,0.0043971026
user_tp_given_ds_no_alarm_system_noise_rate_rolling_7,0.0043686475
tp_rate_rolling_21,0.0042404714
ds_fp_rate_rolling_40,0.0041187056
dependency_num,0.004081158
system_tp_rate_rolling_1,0.004032791
tp_rate_rolling_14,0.004006347
ds_tp_rate_rolling_3,0.0039991667
ds_fn_rate_rolling_40,0.0038898177
user_tp_given_ds_alarm_system_signal_rate_rolling_21,0.0038475576
fn_rate_rolling_3,0.0038192659
fp_rate_rolling_14,0.003706874
fn_rate_rolling_1,0.0036797973
user_tp_given_ds_alarm_rate_rolling_14,0.003651928
tp_rate_rolling_40,0.00365095
user_tp_given_ds_alarm_rate_rolling_1,0.003622177
user_tp_given_ds_alarm_system_signal_rate_rolling_40,0.0034933025
fp_rate_rolling_40,0.0034821914
user_tp_given_ds_alarm_system_noise_rate_rolling_21,0.0034654697
ds_fn_rate_rolling_21,0.0034245683
ds_fp_rate_rolling_3,0.0034026098
fn_rate_rolling_7,0.0033960068
user_tp_given_system_noise_rate_rolling_40,0.00335651
user_tp_given_system_signal_rate_rolling_1,0.0033354873
tp_rate_rolling_1,0.0033288754
system_fp_rate_rolling_1,0.00332191
ds_fp_rate_rolling_14,0.003319582
fn_rate_rolling_14,0.0032526338
user_tp_given_system_noise_rate_rolling_21,0.0032335508
user_tp_given_system_noise_rate_rolling_7,0.0031356667
ds_tp_rate_rolling_7,0.0031059294
ds_fn_rate_rolling_3,0.003097569
signal_rate_rolling_40,0.0030570065
user_tp_given_ds_alarm_system_noise_rate_rolling_40,0.0030275597
user_tp_given_ds_no_alarm_system_signal_rate_rolling_21,0.002971761
ds_fp_rate_rolling_1,0.002938671
ds_fn_rate_rolling_14,0.002931661
fn_rate_rolling_40,0.0029303008
fp_rate_rolling_7,0.0028918295
user_ds_agreement_rate_rolling_7,0.0028276637
signal_rate_rolling_14,0.0027576054
user_tp_given_ds_alarm_rate_rolling_3,0.0027519339
user_tp_given_ds_alarm_system_signal_rate_rolling_3,0.0027025572
fn_rate_rolling_21,0.0024671762
fp_rate_rolling_3,0.0024585666
ds_fp_rate_rolling_7,0.0024449197
signal_rate_rolling_21,0.0023293116
user_tp_given_ds_no_alarm_system_noise_rate_rolling_40,0.0023054099
user_ds_agreement_rate_rolling_21,0.0022732646
user_tp_given_ds_no_alarm_system_signal_rate_rolling_14,0.002236342
user_tp_given_ds_alarm_rate_rolling_40,0.0022311271
user_ds_agreement_rate_rolling_14,0.0021999953
system_d,0.0021602812
ds_tp_rate_rolling_14,0.0021588302
ds_tp_rate_rolling_21,0.0021014828
user_tp_given_ds_no_alarm_system_noise_rate_rolling_14,0.0020939568
user_tp_given_ds_alarm_rate_rolling_21,0.0020848417
user_tp_given_ds_no_alarm_system_noise_rate_rolling_21,0.0020623151
user_tp_given_system_noise_rate_rolling_3,0.002057899
user_ds_agreement_rate_rolling_40,0.002053403
user_ds_agreement_rate_rolling_1,0.0018790881
user_tp_given_ds_no_alarm_rate_rolling_3,0.0018346687
user_tp_given_ds_no_alarm_system_signal_rate_rolling_40,0.0017758098
user_ds_agreement_rate_rolling_3,0.0017175998
ds_tp_rate_rolling_1,0.0017152043
user_tp_given_ds_no_alarm_rate_rolling_40,0.0015888823
classification_time_mean_rolling_40,0.0015647274
fp_rate_rolling_1,0.0015269946
user_tp_given_ds_no_alarm_rate_rolling_1,0.0014196922
user_tp_given_ds_no_alarm_rate_rolling_14,0.0013051997
classification_time_mean_rolling_1,0.0012971826
classification_time_mean_rolling_21,0.0012881164
user_tp_given_ds_no_alarm_system_noise_rate_rolling_3,0.0012835949
classification_time_mean_rolling_3,0.0012030409
user_tp_given_system_noise_rate_rolling_1,0.0011909585
classification_time_mean_rolling_7,0.0011742316
user_tp_given_ds_no_alarm_rate_rolling_21,0.0011696761
classification_time_mean_rolling_14,0.001157846
purchase_ds_block_num,0.0011344826
user_tp_given_system_noise_rate_rolling_14,0.0009276002
user_tp_given_ds_alarm_system_noise_rate_rolling_3,0.0009138389
user_tp_given_ds_no_alarm_rate_rolling_7,0.00085399876
user_tp_given_ds_no_alarm_system_signal_rate_rolling_7,0.0005339165
user_tp_given_system_correct_rate_rolling_40,0.0
user_tp_given_system_incorrect_rate_rolling_1,0.0
user_tp_given_system_correct_rate_rolling_1,0.0
user_tp_given_ds_correct_rate_rolling_40,0.0
user_tp_given_ds_incorrect_rate_rolling_40,0.0
is_first_trial,0.0
user_tp_given_ds_incorrect_rate_rolling_1,0.0
user_tp_given_system_incorrect_rate_rolling_40,0.0
user_tp_given_ds_alarm_system_noise_rate_rolling_1,0.0
user_tp_given_ds_correct_rate_rolling_1,0.0
user_tp_given_ds_correct_rate_rolling_14,0.0
user_tp_given_ds_incorrect_rate_rolling_14,0.0
user_tp_given_system_correct_rate_rolling_14,0.0
is_first_block,0.0
user_tp_given_ds_alarm_system_signal_rate_rolling_1,0.0
user_tp_given_system_correct_rate_rolling_21,0.0
user_tp_given_system_incorrect_rate_rolling_21,0.0
user_tp_given_ds_no_alarm_system_noise_rate_rolling_1,0.0
user_tp_given_ds_correct_rate_rolling_21,0.0
user_tp_given_ds_correct_rate_rolling_3,0.0
user_tp_given_ds_incorrect_rate_rolling_3,0.0
user_tp_given_system_correct_rate_rolling_3,0.0
user_tp_given_system_incorrect_rate_rolling_3,0.0
user_tp_given_system_incorrect_rate_rolling_14,0.0
user_tp_given_ds_incorrect_rate_rolling_21,0.0
user_tp_given_ds_alarm_system_noise_rate_rolling_7,0.0
user_tp_given_system_incorrect_rate_rolling_7,0.0
user_tp_given_ds_correct_rate_rolling_7,0.0
user_tp_given_ds_incorrect_rate_rolling_7,0.0
user_tp_given_system_correct_rate_rolling_7,0.0
user_tp_given_ds_no_alarm_system_signal_rate_rolling_1,0.0
