feature,importance
stimulus,0.38204044
ds_recommends_signal,0.13217656
system_d,0.038328473
user_tp_given_system_noise_rate_rolling_21,0.02934503
user_tp_given_system_signal_rate_rolling_40,0.024809584
user_tp_given_system_noise_rate_rolling_40,0.016899664
user_tp_given_system_signal_rate_rolling_3,0.012852697
fn_rate_rolling_1,0.012252847
user_tp_given_ds_alarm_system_noise_rate_rolling_21,0.01042674
user_tp_given_ds_alarm_system_signal_rate_rolling_40,0.009755245
user_tp_given_ds_alarm_rate_rolling_14,0.008056208
user_tp_given_ds_no_alarm_rate_rolling_7,0.007618932
user_tp_given_ds_no_alarm_system_signal_rate_rolling_3,0.007166758
ds_tp_rate_rolling_1,0.0069313245
user_ds_agreement_rate_rolling_14,0.006655166
user_tp_given_ds_alarm_system_noise_rate_rolling_14,0.006649786
dependency_num,0.0063576023
fn_rate_rolling_40,0.006108946
ds_fn_rate_rolling_14,0.005736069
user_ds_agreement_rate_rolling_40,0.005557993
tp_rate_rolling_3,0.0054817037
user_tp_given_ds_no_alarm_system_noise_rate_rolling_14,0.005308473
user_tp_given_ds_alarm_system_signal_rate_rolling_21,0.0052289506
user_ds_agreement_rate_rolling_7,0.0050230036
user_tp_given_ds_no_alarm_system_noise_rate_rolling_3,0.0048973756
fp_rate_rolling_3,0.0046854587
ds_fp_rate_rolling_21,0.004652158
user_tp_given_ds_no_alarm_rate_rolling_3,0.004589815
signal_rate_rolling_7,0.004589194
ds_fn_rate_rolling_1,0.0045119547
user_tp_given_ds_no_alarm_system_signal_rate_rolling_14,0.0043655653
user_tp_given_ds_alarm_system_noise_rate_rolling_7,0.0043516327
fp_rate_rolling_7,0.0043233666
user_tp_given_ds_alarm_system_noise_rate_rolling_40,0.004291566
tp_rate_rolling_40,0.0042696507
classification_time_mean_rolling_40,0.0041514994
fn_rate_rolling_14,0.0041088876
ds_fn_rate_rolling_21,0.0040784273
tp_rate_rolling_21,0.0039358763
user_tp_given_ds_alarm_system_signal_rate_rolling_7,0.003893526
ds_fn_rate_rolling_40,0.0038828729
tp_rate_rolling_1,0.003842247
fp_rate_rolling_40,0.0038195201
stimulus_mean_rolling_7,0.0037780723
user_tp_given_system_signal_rate_rolling_14,0.0037686324
user_tp_given_ds_no_alarm_rate_rolling_40,0.0037539685
fp_rate_rolling_21,0.003742202
fn_rate_rolling_3,0.0035769034
user_tp_given_ds_no_alarm_rate_rolling_21,0.00354737
ds_fn_rate_rolling_3,0.0034322194
user_tp_given_ds_alarm_rate_rolling_40,0.0034193236
ds_fn_rate_rolling_7,0.0034017966
trial,0.0033862086
classification_time_mean_rolling_7,0.0033649392
user_ds_agreement_rate_rolling_3,0.003234401
classification_time_mean_rolling_21,0.0032336118
user_tp_given_ds_no_alarm_system_noise_rate_rolling_40,0.0032333196
user_tp_given_ds_no_alarm_system_signal_rate_rolling_40,0.0032227018
fn_rate_rolling_21,0.0031422218
user_tp_given_ds_alarm_system_signal_rate_rolling_3,0.0031347992
classification_time_mean_rolling_14,0.003083414
user_ds_agreement_rate_rolling_21,0.003072357
classification_time_mean_rolling_1,0.0030150914
fp_rate_rolling_14,0.0030121903
classification_time_mean_rolling_3,0.0030033784
signal_rate_rolling_14,0.0029999951
stimulus_mean_rolling_3,0.002982555
fn_rate_rolling_7,0.0028930851
user_tp_given_ds_no_alarm_system_noise_rate_rolling_21,0.0027993754
stimulus_mean_rolling_40,0.0027838908
ds_tp_rate_rolling_14,0.0027576538
user_tp_given_ds_no_alarm_rate_rolling_14,0.00274582
user_tp_given_ds_no_alarm_system_signal_rate_rolling_21,0.0027328052
ds_tp_rate_rolling_40,0.0027039077
signal_rate_rolling_40,0.0026219073
purchase_ds_block_num,0.0025667162
user_tp_given_system_signal_rate_rolling_21,0.0024726747
ds_fp_rate_rolling_40,0.0024461304
user_tp_given_system_signal_rate_rolling_7,0.0024200985
signal_rate_rolling_21,0.0023098658
stimulus_mean_rolling_1,0.0022899418
block,0.002274542
ds_fp_rate_rolling_7,0.0021956877
user_tp_given_ds_alarm_system_noise_rate_rolling_3,0.002184512
ds_tp_rate_rolling_21,0.0021748168
user_tp_given_ds_alarm_rate_rolling_21,0.002167808
stimulus_mean_rolling_14,0.0021182615
ds_fp_rate_rolling_14,0.0020483085
signal_rate_rolling_3,0.002003155
user_tp_given_ds_alarm_system_signal_rate_rolling_14,0.0020004222
ds_fp_rate_rolling_3,0.00197849
