user_id,aid,csv_row_id,ps,human_sensitivity,ds_sensitivity,start_time,complete,end_time
31,6936c6d0-7fa9-685b-1e07-ae6e84bef2a3,237.0,0.35,2.5,1.5,2025-12-08 12:40:00.683731,1,2025-12-08 12:49:37.435722
32,6936c71b-a0a3-ee37-16eb-65cc8a66701b,276.0,0.5,1.1,0.5,2025-12-08 12:41:04.089556,1,2025-12-08 12:51:04.437791
33,6936c751-1136-ec6f-6e43-fb4c06483451,236.0,0.35,2.5,1.3,2025-12-08 12:41:38.736285,1,2025-12-08 12:52:57.560370
34,6936c75c-7fa1-868f-1f22-38e824c1761b,257.0,0.5,0.7,1.1,2025-12-08 12:42:10.259373,1,2025-12-08 12:47:35.700894
35,6936c73a-b5a9-20ce-0086-3a8e34062239,74.0,0.2,1.7,1.9,2025-12-08 12:42:21.318183,1,2025-12-08 13:05:20.150141
36,6936c777-bd52-bea9-c1d3-c31c09828409,218.0,0.35,2.1,2.1,2025-12-08 12:42:33.180680,1,2025-12-08 12:49:07.963333
37,6936c7b8-272c-ea78-278c-07594dea3650,89.0,0.2,2.1,0.5,2025-12-08 12:43:43.976809,1,2025-12-08 12:50:46.670319
38,6936c7e3-f151-181a-92d7-8501fbbfeb7b,170.0,0.35,1.3,1.3,2025-12-08 12:44:13.380536,1,2025-12-08 12:50:14.541843
39,6936c806-2568-cdf8-a62d-17d70fa5659c,,0.35,1.7,0.7,2025-12-08 12:44:38.728176,0,
40,6936c836-b652-2a27-c899-de5409106793,,0.5,2.3,1.7,2025-12-08 12:45:14.492495,0,
41,6936c82f-a78d-896d-ef8b-1da1e19beea8,,0.2,1.5,1.5,2025-12-08 12:45:43.610940,0,
42,6936c860-a054-6b7d-895b-df5fe77eb7dc,128.0,0.35,0.5,1.7,2025-12-08 12:45:55.753353,1,2025-12-08 12:51:30.554775
43,6936c6f7-2775-e3ea-b678-19e6a285da8d,,0.35,1.5,0.7,2025-12-08 12:46:17.308541,0,
44,6936c871-87cf-85a1-541a-e0b9311237ab,67.0,0.2,1.7,0.5,2025-12-08 12:47:18.483778,1,2025-12-08 12:52:18.704023
45,6936c8a0-fe93-4fad-4bd1-8d850deca919,5.0,0.2,0.5,1.3,2025-12-08 12:47:28.638834,1,2025-12-08 12:56:24.908915
46,6936c8b1-be78-4ea2-5c77-f50ed7be0403,229.0,0.35,2.3,2.1,2025-12-08 12:47:31.677230,1,2025-12-08 12:54:15.152672
47,6936c870-f7d5-8e35-34e2-beecf84e781d,212.0,0.35,2.1,0.9,2025-12-08 12:48:02.492445,1,2025-12-08 13:02:59.161642
48,6936c8b9-5e24-525c-2beb-c8d71d4e4d98,160.0,0.35,1.1,1.5,2025-12-08 12:48:03.324686,1,2025-12-08 12:57:09.011906
49,6936c8e9-c0e4-7026-2699-9a28c5c3cbf1,103.0,0.2,2.3,1.1,2025-12-08 12:48:36.237881,1,2025-12-08 12:54:08.142423
50,6936c8c2-f8b0-b415-86b6-18eba27903e7,283.0,0.5,1.1,1.9,2025-12-08 12:48:38.487786,1,2025-12-08 12:56:37.202038
51,693712e7-feec-cab7-eed2-6c2413c55cc9,342.0,0.5,2.3,0.5,2025-12-08 18:04:13.724538,1,2025-12-08 18:08:44.594091
52,693712f2-d8b1-a373-c863-f9d8b1762322,230.0,0.35,2.3,2.3,2025-12-08 18:05:04.076525,1,2025-12-08 18:16:05.295807
53,69371321-6632-64d7-8cfc-fd0639c9f164,201.0,0.35,1.9,0.9,2025-12-08 18:05:30.776395,1,2025-12-08 18:11:45.725001
54,6937145c-cf88-794f-79a1-2f80229866a8,52.0,0.2,1.3,1.9,2025-12-08 18:10:19.042560,1,2025-12-08 18:21:10.064847
55,6937147d-fdcd-f255-1398-33f90c0819dc,345.0,0.5,2.3,1.1,2025-12-08 18:10:47.999917,1,2025-12-08 18:20:21.982741
56,693714b9-d4f7-4ea7-fef9-ef1e39b7c135,305.0,0.5,1.5,1.9,2025-12-08 18:11:48.639886,1,2025-12-08 18:23:59.892758
57,69371477-bfe2-05ac-0c75-ad2430d22541,356.0,0.5,2.5,1.1,2025-12-08 18:11:53.887347,1,2025-12-08 18:23:40.217118
58,6937148d-5bfb-0ae6-05ff-1bc1c723434b,,0.2,1.3,1.1,2025-12-08 18:12:13.310664,0,
59,693714bd-7267-0fa9-89a2-d8d177b96946,311.0,0.5,1.7,0.9,2025-12-08 18:13:00.187425,1,2025-12-08 18:22:12.284142
60,693714a1-7981-89d0-90a1-4b6bf5bee656,,0.5,0.9,1.1,2025-12-08 18:13:10.015276,0,
61,6937150e-14d9-6386-5576-1353d66c3ec1,209.0,0.35,1.9,2.5,2025-12-08 18:13:24.051854,1,2025-12-08 18:21:18.251389
62,69371509-29d4-8231-a163-cc219479f546,293.0,0.5,1.3,1.7,2025-12-08 18:13:24.570264,1,2025-12-08 18:24:17.352439
63,693714bd-87d9-40b8-61fd-6da12e72d6a0,63.0,0.2,1.5,1.9,2025-12-08 18:13:27.735913,1,2025-12-08 18:21:57.812816
64,693714fc-a6d2-3626-cd26-0074375100fc,,0.2,1.5,2.3,2025-12-08 18:13:28.562166,0,
65,69371519-a0e0-3e8d-86dc-0ebad23bb0b9,153.0,0.35,0.9,2.3,2025-12-08 18:13:37.010996,1,2025-12-08 18:25:24.154263
66,69371521-e701-aad6-b9e7-64ea722d8ab8,62.0,0.2,1.5,1.7,2025-12-08 18:13:41.136517,1,2025-12-08 18:22:04.233881
67,69371538-e873-0c83-a8aa-e79a1e3b9826,259.0,0.5,0.7,1.5,2025-12-08 18:13:55.038469,1,2025-12-08 18:20:07.827014
68,6937153c-bb92-e28a-fe78-815d948281fc,,0.35,1.7,2.1,2025-12-08 18:14:29.162511,0,
69,693714b2-5460-2fb3-29ac-489a633b6ffc,357.0,0.5,2.5,1.3,2025-12-08 18:14:38.731022,1,2025-12-08 18:20:26.129991
70,69371573-df24-84f3-ef63-10707a8996d1,90.0,0.2,2.1,0.7,2025-12-08 18:14:39.179423,1,2025-12-08 18:21:32.953996
71,6937156d-7e40-d492-422c-e51f93ebcd18,30.0,0.2,0.9,1.9,2025-12-08 18:14:49.684589,1,2025-12-08 18:20:39.342748
