user_id,csv_row_id,db_ps,csv_ps,db_dprime_h,csv_dprime_h,db_dprime_s,csv_dprime_s
31,237,0.5,0.35,2.5,2.5,2.3,1.5
32,276,0.35,0.5,1.9,1.1,2.5,0.5
33,236,0.2,0.35,1.5,2.5,1.1,1.3
34,257,0.35,0.5,1.5,0.7,1.9,1.1
35,74,0.5,0.2,2.1,1.7,2.3,1.9
36,218,0.2,0.35,0.5,2.1,0.7,2.1
37,89,0.2,0.2,0.5,2.1,1.1,0.5
38,170,0.5,0.35,2.1,1.3,0.7,1.3
42,128,0.5,0.35,0.7,0.5,0.5,1.7
44,67,0.35,0.2,2.3,1.7,0.9,0.5
45,5,0.5,0.2,1.9,0.5,1.5,1.3
46,229,0.5,0.35,0.7,2.3,0.5,2.1
47,212,0.2,0.35,0.5,2.1,2.1,0.9
48,160,0.35,0.35,1.1,1.1,1.7,1.5
49,103,0.5,0.2,0.7,2.3,0.5,1.1
50,283,0.5,0.5,0.7,1.1,1.3,1.9
51,342,0.2,0.5,1.1,2.3,0.7,0.5
52,230,0.2,0.35,2.3,2.3,1.3,2.3
53,201,0.35,0.35,2.1,1.9,1.3,0.9
54,52,0.5,0.2,2.3,1.3,0.7,1.9
55,345,0.2,0.5,2.3,2.3,1.9,1.1
56,305,0.5,0.5,2.5,1.5,0.7,1.9
57,356,0.5,0.5,0.9,2.5,1.7,1.1
59,311,0.35,0.5,0.5,1.7,1.3,0.9
61,209,0.5,0.35,1.1,1.9,0.9,2.5
62,293,0.5,0.5,2.5,1.3,0.7,1.7
63,63,0.2,0.2,0.9,1.5,0.5,1.9
65,153,0.5,0.35,0.5,0.9,1.7,2.3
66,62,0.35,0.2,1.9,1.5,2.3,1.7
67,259,0.5,0.5,1.9,0.7,1.9,1.5
69,357,0.35,0.5,1.1,2.5,0.5,1.3
70,90,0.5,0.2,2.5,2.1,1.9,0.7
71,30,0.35,0.2,2.3,0.9,1.9,1.9
72,352,0.5,0.5,2.5,2.3,1.9,2.5
73,24,0.2,0.2,1.1,0.9,1.9,0.7
74,140,0.2,0.35,1.1,0.7,0.9,1.9
76,305,0.35,0.5,1.3,1.5,2.5,1.9
77,194,0.5,0.35,1.7,1.7,2.5,1.7
78,347,0.35,0.5,1.9,2.3,0.7,1.5
79,308,0.5,0.5,0.9,1.5,1.9,2.5
81,187,0.5,0.35,2.5,1.5,1.9,2.5
82,11,0.5,0.2,0.5,0.5,2.3,2.5
83,205,0.5,0.35,0.5,1.9,2.1,1.7
84,221,0.2,0.35,2.5,2.3,1.3,0.5
85,183,0.5,0.35,2.3,1.5,2.3,1.7
86,117,0.35,0.2,0.9,2.5,0.5,1.7
88,121,0.5,0.2,0.7,2.5,2.1,2.5
89,172,0.35,0.35,2.5,1.3,1.7,1.7
90,79,0.2,0.2,0.9,1.9,1.5,0.7
91,184,0.2,0.35,1.1,1.5,2.1,1.9
92,95,0.35,0.2,1.5,2.1,1.1,1.7
94,316,0.2,0.5,2.5,1.7,1.3,1.9
