user_id,block_number,trial_number,classification_decision,stimulus_seen,dss_judgment,decision_time,correct_classification
2,1,1,signal,-0.71,noise,13.606186,noise
2,2,1,noise,1.02,noise,78.556445,noise
3,1,1,signal,7.04,signal,2.226008,noise
3,1,2,noise,7.04,signal,1.507804,noise
3,1,3,noise,7.04,signal,1.310363,noise
3,1,4,signal,7.04,signal,1.81483,noise
3,1,5,noise,7.04,signal,1.12051,noise
3,1,6,noise,7.04,signal,0.929253,noise
3,1,7,noise,7.04,signal,0.919796,noise
3,1,8,noise,7.04,signal,1.616132,noise
3,1,9,noise,7.04,signal,0.912898,noise
3,1,10,noise,7.04,signal,1.095427,noise
3,2,1,signal,2.6,noise,2.06374,signal
3,2,2,noise,1.38,signal,1.332028,signal
3,2,3,signal,2.38,signal,1.140933,signal
3,2,4,noise,0.94,signal,1.062372,signal
3,2,5,signal,1.12,signal,0.887633,signal
3,2,6,noise,1.38,noise,0.807753,signal
3,2,7,signal,1.66,signal,0.888752,signal
3,2,8,noise,-1.11,noise,0.872897,noise
3,2,9,signal,1.35,noise,0.890508,signal
3,2,10,noise,-1.67,noise,0.892342,noise
2,1,2,noise,-0.08,noise,1.402153,noise
2,1,3,noise,0.55,signal,0.9178,signal
2,1,4,noise,0.24,noise,0.828923,noise
2,1,5,signal,0.8,noise,1.569674,signal
2,1,6,noise,-1.13,noise,1.880282,noise
2,1,7,noise,-1.36,signal,1.3664,noise
2,1,8,signal,1.1,signal,1.871844,signal
2,1,9,noise,-1.02,noise,1.366617,noise
2,1,10,noise,-0.8,noise,1.75917,noise
2,2,2,noise,1.7,noise,2.635101,noise
2,2,3,signal,1.31,noise,1.900189,signal
2,2,4,signal,-2.17,noise,1.402884,noise
2,2,5,noise,-1.33,signal,1.705562,signal
2,2,6,noise,-0.48,noise,1.42005,noise
2,2,7,noise,-0.04,signal,1.650631,noise
2,2,8,signal,0.35,noise,1.76418,noise
2,2,9,noise,-1.88,noise,2.837542,noise
2,2,10,signal,1.69,signal,2.146871,signal
2,3,1,noise,-0.71,noise,3.06946,noise
2,3,2,noise,-0.08,noise,1.406797,noise
2,3,3,signal,0.55,signal,1.744626,signal
2,3,4,noise,0.24,noise,1.10676,noise
2,3,5,signal,0.8,noise,0.849483,signal
4,1,1,noise,-1.84,noise,33.545839,noise
4,1,2,noise,1.43,signal,2.13442,signal
4,1,3,noise,1.87,signal,1.851136,signal
4,1,4,noise,-1.82,noise,1.880487,noise
4,1,5,noise,-0.96,noise,1.15246,noise
4,1,6,noise,-0.18,noise,0.968573,noise
4,1,7,noise,-0.35,signal,1.452528,signal
4,1,8,signal,-0.18,signal,5.236741,signal
4,1,9,signal,-1.56,noise,4.279579,noise
4,1,10,signal,-0.4,noise,1.609379,noise
4,2,1,signal,-0.95,noise,2.193592,noise
4,2,2,signal,2.1,noise,215.841011,signal
4,2,3,noise,-0.36,noise,29.348581,noise
4,2,4,signal,0.97,signal,15.775577,signal
4,2,5,signal,0.32,signal,4.587173,signal
4,2,6,signal,-0.53,noise,6.86723,noise
